sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.6015707,0.9399855,0.9480344,0.9627239,0.94805753,0.948705
0.7108604,0.95445454,0.9491221,0.9592162,0.9282023,0.93018955
0.73125607,0.93324417,0.9566264,0.9554056,0.9375757,0.94491667
0.57690144,0.9427236,0.95921814,0.9617094,0.9415309,0.94501424
0.67052925,0.94615126,0.9495684,0.961349,0.9452696,0.9520244
0.75927305,0.95228624,0.96095586,0.9684056,0.9519744,0.95787823
0.46151605,0.86446846,0.92437994,0.94499063,0.9044624,0.9083389
0.53742194,0.95102084,0.9546881,0.96120834,0.95103276,0.94599336
0.7560912,0.9570436,0.9584296,0.957268,0.9494745,0.9459899
0.6521011,0.9199731,0.9376504,0.91518325,0.91937155,0.91365796
0.49066085,0.9361066,0.94041497,0.9546808,0.9400657,0.9286353
0.44339427,0.9318555,0.9367722,0.94556653,0.92239,0.92139024
0.6074118,0.95331776,0.95008224,0.95973766,0.94376665,0.9454319
0.7869875,0.9487635,0.95291066,0.96008307,0.94431746,0.9436242
0.6291318,0.9150914,0.93423283,0.9220072,0.9286542,0.91686743
0.73434955,0.9544301,0.96305066,0.96766907,0.94947267,0.953828
0.50854963,0.9118297,0.92826366,0.9304089,0.8552818,0.8948087
0.6379266,0.9248254,0.9444947,0.9559005,0.9295794,0.94043964
0.57320267,0.95115,0.95819515,0.96295494,0.9564061,0.9386964
0.5579212,0.92933995,0.9318719,0.9521295,0.9183359,0.9366552
0.57029825,0.9415391,0.9523544,0.95991606,0.9422875,0.9295576
0.627239,0.9277603,0.92803603,0.9442599,0.9225233,0.9058424
0.70484275,0.9599835,0.9668664,0.9644004,0.96006763,0.9566614
0.46583432,0.94215703,0.9484888,0.9630964,0.9097311,0.9428428
0.25542316,0.9261118,0.93659097,0.94778377,0.9370578,0.91377807
0.37697583,0.9069675,0.91325366,0.9229516,0.91455656,0.9058574
0.54650396,0.96581805,0.9600898,0.9645107,0.94090396,0.93960106
0.27272552,0.8712546,0.9242335,0.9040503,0.91659045,0.91221416
0.6228698,0.96525466,0.9696633,0.9666933,0.95681214,0.95755905
