,sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0,0.7742342,0.9540962,0.9694722,0.9649152,0.95932925,0.94203365
1,0.8175811,0.9678948,0.97646505,0.98186964,0.9742615,0.9722664
2,0.7550838,0.9406146,0.96087754,0.96402514,0.95984966,0.95623356
3,0.68908423,0.94272983,0.9528799,0.9693206,0.9375972,0.93783665
4,0.8756892,0.941472,0.964115,0.9781266,0.960343,0.9630471
5,0.79697907,0.9613753,0.97319806,0.9768654,0.96494704,0.9574803
6,0.78638756,0.9696024,0.9731804,0.9749786,0.95332235,0.96541524
7,0.86452377,0.951394,0.9744141,0.974824,0.97079974,0.96628994
8,0.6051187,0.94214106,0.9510953,0.95352143,0.9377936,0.9343981
9,0.74147224,0.94839495,0.961248,0.95975465,0.9636103,0.9576773
10,0.729261,0.94976693,0.9659849,0.96121955,0.96321553,0.96413743
11,0.8798114,0.9604073,0.9769845,0.9829984,0.96864325,0.97410697
12,0.8059809,0.95918256,0.9704285,0.9686362,0.95331883,0.941844
13,0.8798411,0.97005343,0.9829683,0.9795841,0.974983,0.97204465
14,0.8684887,0.9628278,0.9732708,0.9749415,0.9692997,0.9686894
15,0.7274819,0.94398713,0.96591306,0.9780131,0.9621142,0.9656934
16,0.84218,0.96466863,0.97126776,0.9709486,0.9557239,0.9659504
17,0.64656943,0.93413323,0.92899936,0.9421142,0.93364865,0.9229496
18,0.5982668,0.89956766,0.9287586,0.9460038,0.92509246,0.938809
19,0.5307469,0.890854,0.9277294,0.9319289,0.9134265,0.9243366
20,0.43946734,0.9305493,0.9319134,0.9471836,0.9372933,0.9251522
21,0.3026386,0.91395396,0.907757,0.94118536,0.9056046,0.89874834
22,0.68055123,0.9441079,0.95009744,0.9549004,0.9390081,0.95008796
23,0.6250944,0.9302675,0.9452903,0.9577914,0.9408848,0.9397325
24,0.55572253,0.9116603,0.92691386,0.9419399,0.9306418,0.9429401
25,0.6880402,0.9437571,0.9559346,0.966057,0.9410828,0.9578496
26,0.76922107,0.9427607,0.9641495,0.9703368,0.96375316,0.9548201
27,0.62639207,0.9415571,0.93996626,0.96220684,0.94039524,0.95347196
