,sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0,0.5562927,0.9535428,0.95936257,0.96815455,0.954908,0.94869864
1,0.6477982,0.9467578,0.96524215,0.95998317,0.962166,0.9549087
2,0.7790524,0.9408792,0.95596987,0.96734184,0.9588146,0.95277286
3,0.61168706,0.95581686,0.9635246,0.95711344,0.9593326,0.94955236
4,0.6592016,0.94012594,0.94953597,0.9644508,0.9264107,0.93905634
5,0.7389778,0.96535385,0.9693882,0.96150327,0.9529141,0.96098584
6,0.6146985,0.94309133,0.9505141,0.96511936,0.94916964,0.9391331
7,0.51689434,0.8945867,0.9169964,0.9284525,0.88626087,0.8928252
8,0.5551807,0.91004366,0.9305185,0.91886014,0.91350746,0.91857255
9,0.63557506,0.94696903,0.9576229,0.9692209,0.94580925,0.95120513
10,0.34659925,0.9351956,0.9426009,0.9607399,0.9319632,0.9320289
11,0.70705116,0.9161525,0.9237576,0.92732644,0.92042726,0.9298607
12,0.76624954,0.965525,0.9676442,0.96113926,0.95529336,0.95403975
13,0.8072899,0.9677362,0.97433585,0.968713,0.9705343,0.96835434
14,0.45691362,0.93550426,0.9402728,0.9456449,0.9213211,0.91734654
15,0.4335669,0.9311955,0.9368751,0.94141865,0.92217153,0.9108067
16,0.5453303,0.9384352,0.9532437,0.9653631,0.9457214,0.9466313
17,0.520958,0.943283,0.949677,0.9572516,0.9465855,0.9434251
18,0.7367548,0.9439899,0.9510712,0.967438,0.94756204,0.9527618
19,0.6914994,0.94140095,0.9534647,0.9688712,0.9440262,0.9569645
20,0.72360116,0.9174558,0.93820286,0.96003556,0.92574406,0.93622065
21,0.6751562,0.9623685,0.96677077,0.97900325,0.9693887,0.97430754
22,0.7103594,0.95503557,0.9506186,0.9720843,0.9590441,0.963545
23,0.81047785,0.9688226,0.9746789,0.9813114,0.97152454,0.9699943
24,0.7339409,0.9172412,0.9485095,0.9485922,0.9289216,0.94161075
25,0.8330227,0.97170454,0.9720005,0.973845,0.96623176,0.9702832
26,0.8685284,0.97743696,0.9785157,0.9735433,0.9696659,0.9707134
27,0.7235531,0.9294446,0.94919455,0.9657816,0.9445829,0.9449301
28,0.8113922,0.96396506,0.9665083,0.9679374,0.96529895,0.9556469
29,0.80524975,0.9683659,0.9750145,0.97869384,0.97194505,0.97246164
30,0.5847077,0.9521504,0.9666594,0.97277987,0.9581161,0.96439224
31,0.7992294,0.96941346,0.97731507,0.98234856,0.97624743,0.9767988
32,0.8132264,0.96658504,0.97454166,0.97995806,0.96437716,0.96542144
33,0.8624669,0.97344065,0.97659296,0.9777359,0.97083265,0.9740832
34,0.5195581,0.9513793,0.94613373,0.9640194,0.9268933,0.9450549
35,0.4720649,0.9432502,0.94931227,0.9558699,0.9259139,0.9191365
36,0.82926446,0.9644957,0.9742306,0.9665612,0.9729607,0.9687639
37,0.80929875,0.9308515,0.96000654,0.96383595,0.954945,0.943218
38,0.651251,0.9527774,0.9566644,0.9648073,0.9533342,0.9454049
39,0.7458229,0.9476992,0.95844734,0.9584743,0.9471615,0.93995184
40,0.6758484,0.93469757,0.95306265,0.96365684,0.9283711,0.94478506
41,0.7877949,0.9532217,0.9700054,0.9702382,0.9563732,0.9633913
42,0.8048672,0.93471104,0.9495454,0.96825105,0.93964463,0.95125055
43,0.41842407,0.8898792,0.9158966,0.91652805,0.87820625,0.88394755
44,0.7940351,0.9504332,0.9618955,0.9688087,0.9556039,0.95693594
45,0.72205323,0.9535574,0.95676416,0.9567235,0.94848835,0.94100267
46,0.5695669,0.925154,0.92380375,0.9559342,0.90551984,0.94005513
47,0.4594073,0.912585,0.94691867,0.9636932,0.9512172,0.9484582
48,0.8225116,0.95368356,0.9711117,0.98107964,0.9585535,0.9723562
49,0.42921066,0.8700017,0.91621655,0.92380565,0.90349233,0.8949781
50,0.745433,0.96247053,0.96749604,0.9674942,0.95988584,0.9608424
51,0.27974108,0.87591016,0.87500346,0.8396935,0.87109375,0.88006675
52,0.7124537,0.94195473,0.95796436,0.96984744,0.9494155,0.9547777
53,0.64110047,0.9408471,0.9486983,0.97176236,0.95517516,0.95265716
54,0.6329165,0.94613916,0.9576146,0.9627339,0.9488581,0.9418984
55,0.6048498,0.96251255,0.9660623,0.95751476,0.95454645,0.95515317
56,0.72056,0.9583663,0.96787,0.97851247,0.9604331,0.9595855
57,0.67838997,0.9435395,0.9577547,0.9633541,0.9612246,0.95692307
58,0.7043105,0.93270797,0.9525905,0.97335327,0.9351734,0.95768976
59,0.8292182,0.9511702,0.9725535,0.98329747,0.9673614,0.96711755
60,0.68426716,0.95493025,0.9639085,0.97497743,0.954027,0.96779525
61,0.7223965,0.91266876,0.9490372,0.96630543,0.9308184,0.9512881
62,0.47990134,0.9500058,0.94945806,0.9663077,0.9400792,0.95393187
63,0.36605036,0.95543945,0.9580802,0.95398706,0.94028306,0.9217797
64,0.6618688,0.9450972,0.9553509,0.97078586,0.9390969,0.9481633
65,0.40534344,0.8223979,0.85793525,0.79984033,0.8413082,0.8423312
66,0.6460821,0.9500892,0.9614518,0.96373844,0.9516469,0.9459516
67,0.5216231,0.94676405,0.9614972,0.96406615,0.95512885,0.93102115
68,0.566459,0.9664466,0.9660269,0.9710868,0.9516485,0.95246124
69,0.51969,0.9577848,0.96648824,0.97576797,0.96127045,0.94634163
70,0.6503954,0.93750304,0.958437,0.9685251,0.95335793,0.9597977
71,0.63558584,0.95993626,0.96857214,0.9733523,0.9647771,0.9585315
72,0.6339186,0.9414486,0.95842636,0.9701109,0.9262291,0.9357262
73,0.40659878,0.92382956,0.9371968,0.95918083,0.93129116,0.9190308
74,0.5716949,0.929129,0.9562691,0.9586422,0.94575816,0.92571837
75,0.54976815,0.9449373,0.95820993,0.9675494,0.9526588,0.955901
76,0.62894803,0.95199525,0.96403563,0.9708769,0.95189404,0.95670193
77,0.6695346,0.94869715,0.9673064,0.9707841,0.9543741,0.95141304
78,0.6607262,0.9529124,0.95919484,0.9729106,0.93791914,0.95115906
79,0.29311588,0.9032919,0.91094637,0.9556027,0.9086402,0.8814822
80,0.74014336,0.9538849,0.960992,0.9716471,0.9546563,0.958094
81,0.6148124,0.9411441,0.9677307,0.96491736,0.95469993,0.9589489
82,0.7293059,0.9227602,0.9471009,0.9612462,0.94200987,0.94493353
83,0.60967195,0.9173313,0.9164711,0.945889,0.8985118,0.9326976
84,0.3990017,0.9390222,0.9459001,0.9616035,0.9343332,0.92713326
85,0.64527804,0.9353191,0.9418487,0.96282595,0.9414252,0.9438066
86,0.6891676,0.9370188,0.9599778,0.9661666,0.955829,0.95190895
87,0.7771772,0.9452002,0.97185785,0.96939474,0.9454643,0.9568088
88,0.7480791,0.95368326,0.96248984,0.97641873,0.9508729,0.9585814
89,0.74164903,0.9525236,0.95875955,0.9662399,0.9437357,0.9526933
90,0.7654959,0.94277424,0.9569566,0.97175205,0.9428865,0.9615196
91,0.7668846,0.95423204,0.9690176,0.96626765,0.96150047,0.96445733
92,0.76835775,0.95419383,0.95649827,0.96892637,0.9533669,0.95748293
93,0.7967146,0.9519198,0.95170724,0.96739674,0.9284259,0.9577546
94,0.4865247,0.91965216,0.932593,0.94214875,0.9155412,0.92643046
95,0.7811429,0.9438357,0.95855933,0.967318,0.94736725,0.9486681
96,0.5599927,0.9409637,0.94649345,0.95016044,0.91215944,0.9287478
97,0.6695415,0.93544257,0.9568607,0.9688861,0.9483425,0.95281136
98,0.77976054,0.9669569,0.9679917,0.9768431,0.95417285,0.9586367
99,0.76563096,0.9626655,0.9692043,0.9733996,0.9536476,0.96562135
100,0.6560398,0.9228794,0.93941534,0.9587528,0.947177,0.94723165
101,0.71722084,0.9447244,0.95667416,0.9719559,0.95622563,0.961804
102,0.7636208,0.92231554,0.93952554,0.9659854,0.9377619,0.94777226
103,0.70648587,0.96696544,0.97456545,0.9816048,0.97075135,0.9689776
104,0.8200987,0.9557234,0.96566784,0.96589506,0.96089005,0.966142
105,0.76883835,0.9572898,0.9705398,0.97649735,0.9643355,0.96070856
106,0.763044,0.9596795,0.96946394,0.974523,0.95887494,0.9609552
107,0.82492554,0.9527473,0.9638923,0.9673037,0.9465072,0.9558991
