,sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0,0.4268025,0.9057865,0.9332371,0.9333334,0.9237717,0.92141587
1,0.65895444,0.9034113,0.93760717,0.94361955,0.929023,0.9254856
2,0.4447966,0.8989432,0.9210908,0.9274159,0.9195209,0.9082448
3,0.6310038,0.9436091,0.948851,0.96815485,0.9162006,0.9516707
4,0.5265304,0.9281514,0.93125993,0.9446082,0.9025221,0.9157591
5,0.5474633,0.89459723,0.9100046,0.91928715,0.9014427,0.9057093
6,0.2985809,0.8996237,0.93397886,0.93910235,0.8870651,0.8887137
7,0.4123942,0.8351425,0.86706865,0.8921632,0.8404477,0.86447066
8,0.20470713,0.8558665,0.87428457,0.8638177,0.8331325,0.84579384
9,0.36731455,0.90218693,0.91097605,0.94141597,0.89561445,0.8975598
10,0.0835015,0.84246767,0.8576547,0.8724705,0.8185432,0.86175823
11,0.45995492,0.9038769,0.9067204,0.8679234,0.87425363,0.87159747
12,0.71283174,0.9352718,0.94525164,0.951585,0.93264836,0.9393558
13,0.42614326,0.90767187,0.9092649,0.90709317,0.90252465,0.8936026
14,0.47340518,0.90633726,0.92461157,0.9278417,0.8835928,0.8797264
15,0.356226,0.8985867,0.90468234,0.9331116,0.8841876,0.87950706
16,0.41043797,0.9081057,0.92299354,0.9491078,0.9236254,0.9254677
17,0.24115448,0.877139,0.880044,0.91177016,0.8923717,0.89048487
18,0.38694572,0.9032314,0.91713214,0.9358057,0.9050881,0.9163803
19,0.55305,0.8509145,0.8970576,0.937352,0.8798211,0.910714
20,0.5848882,0.93140334,0.92049617,0.9512329,0.9391495,0.9454996
21,0.6436154,0.9240698,0.9264093,0.9528782,0.93496597,0.9352155
22,0.6260807,0.9069503,0.93821603,0.939187,0.9088824,0.9307276
23,0.5683738,0.8956076,0.9202421,0.91014844,0.8855418,0.9137904
24,0.83720505,0.96565884,0.9700965,0.9770454,0.9661792,0.96558124
25,0.6880275,0.92694473,0.95044005,0.9496375,0.9403773,0.92959195
26,0.6513702,0.8997793,0.9133856,0.9352271,0.9163258,0.9077285
27,0.7680954,0.94204634,0.9561769,0.96062917,0.95137495,0.9462023
28,0.45165464,0.92271805,0.9399726,0.9550635,0.92351377,0.9439319
29,0.4498963,0.9307398,0.95124316,0.95902926,0.94194627,0.94252
30,0.6135001,0.9285596,0.9463805,0.9574976,0.9327726,0.9391378
31,0.74223155,0.95130414,0.9675585,0.9700215,0.9505328,0.95499384
32,0.39443588,0.92467195,0.92499936,0.9441915,0.8980761,0.9232534
33,0.22812662,0.9083817,0.9085309,0.9258935,0.88084996,0.86042726
34,0.41913092,0.9351534,0.9406121,0.94777554,0.93252534,0.9238087
35,0.6350775,0.8927889,0.917846,0.92892545,0.91642845,0.90185654
36,0.8230533,0.94159377,0.96478325,0.9698614,0.95815027,0.9602488
37,0.7123628,0.9071195,0.9379078,0.95774335,0.9333018,0.93616676
38,0.60618997,0.90737385,0.9350402,0.9289655,0.8912112,0.91194516
39,0.7602566,0.93072987,0.94581884,0.9515004,0.9351143,0.9463503
40,0.36950904,0.8315422,0.8584316,0.8817255,0.79784966,0.84030485
41,0.25050005,0.8413623,0.8659111,0.88034075,0.82195944,0.8314495
42,0.68738675,0.9117474,0.933523,0.9379353,0.9273397,0.9194321
43,0.28948945,0.8637708,0.85603404,0.9029136,0.83037376,0.84723794
44,0.27725494,0.82841945,0.8740237,0.9232961,0.8715484,0.9115822
45,0.36290684,0.85639226,0.91754377,0.9475002,0.90658605,0.9248655
46,0.25753608,0.83015996,0.8763741,0.8998619,0.85186136,0.8777983
47,0.33894312,0.84964186,0.88907677,0.87082034,0.8772083,0.864155
48,0.06660992,0.8116986,0.80143756,0.7422255,0.79782736,0.8162413
49,0.18302199,0.8169495,0.83827406,0.8192065,0.8381525,0.83388203
50,0.64740604,0.8987206,0.92683005,0.95455784,0.926102,0.93317163
51,0.46128225,0.881303,0.9072664,0.9329563,0.90757155,0.89121926
52,0.5496184,0.93887424,0.9506901,0.95901996,0.9358192,0.93463415
53,0.2987727,0.9214491,0.92450076,0.9325198,0.9142504,0.91566205
54,0.57704246,0.91194814,0.93669015,0.9490329,0.92248565,0.9305445
55,0.36677703,0.8605983,0.89904284,0.93597794,0.88514495,0.89894384
56,0.594724,0.9338379,0.95055425,0.96368897,0.9199329,0.94127923
57,0.6096285,0.88620865,0.9351787,0.9506551,0.9196593,0.9380653
58,0.19222404,0.8517829,0.88472193,0.92081636,0.8592026,0.89129925
59,0.16652668,0.916971,0.91368616,0.92592007,0.88532984,0.8798408
60,0.13450114,0.8829158,0.8999643,0.9243217,0.8664746,0.859055
61,0.19803487,0.7462073,0.78257614,0.73180586,0.72861916,0.77893496
62,0.24020311,0.7874451,0.826476,0.79949504,0.81752336,0.7800525
63,0.5255923,0.91148233,0.9277955,0.9354478,0.9257983,0.90124977
64,0.30842346,0.9143296,0.92812175,0.94918734,0.9114501,0.9038425
65,0.38245967,0.93017083,0.94283175,0.9556799,0.91899604,0.92621124
66,0.3564982,0.89427114,0.93425834,0.9410145,0.91806364,0.91045773
67,0.38808674,0.90050566,0.91877073,0.94580394,0.9156195,0.9133328
68,0.41519865,0.89019877,0.92779917,0.93357086,0.88439286,0.89805317
69,0.1558825,0.86365426,0.8947194,0.9328537,0.85845023,0.86668193
70,0.20416458,0.83662796,0.87781364,0.90618145,0.88337946,0.8364362
71,0.35180864,0.8578093,0.8986874,0.91684175,0.8794794,0.8652825
72,0.2287144,0.88662153,0.9059179,0.9281705,0.8877636,0.8922949
73,0.40003818,0.9127356,0.93955404,0.9469366,0.9064405,0.9168368
74,0.5014152,0.9127425,0.93093556,0.9491962,0.8983348,0.9067339
