,sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0,16.610638,11.582215,13.4227,7.242966,12.984365,10.002556
1,15.631312,11.705432,13.293733,7.093875,13.679683,10.196994
2,16.496864,11.823225,13.600102,7.239292,14.376844,10.277986
3,15.265588,11.761271,13.054568,7.1736965,14.018118,10.142872
4,15.213817,11.721479,13.174016,7.130933,12.149001,10.087105
5,15.834382,11.593786,13.035562,7.014023,13.664492,10.137808
6,17.29486,11.927089,13.697917,7.4132977,14.24317,10.319079
7,18.259762,12.380746,13.811866,7.740588,12.255033,9.661094
8,18.47877,12.289985,14.028994,7.882972,13.349178,9.9163065
9,15.4583,11.613314,13.033789,7.2570276,13.639448,10.156131
10,15.5921545,11.547936,13.273804,7.1778007,12.541149,9.759212
11,19.353014,12.255315,14.259262,8.057479,16.501432,10.1194105
12,16.170174,11.574095,13.242183,7.229988,12.660575,9.9873705
13,15.510715,11.582348,13.242534,7.0774746,13.7048645,9.940435
14,17.233814,11.644208,13.6017685,7.3200593,16.51289,10.481514
15,15.408428,11.531966,13.358871,7.34989,14.039598,10.2128315
16,15.967104,11.477342,13.162244,7.244731,13.648696,10.173551
17,14.927747,11.444282,13.442573,7.3943005,13.819929,9.886947
18,17.14967,11.695756,13.550119,7.3332644,13.019225,9.901249
19,16.51062,11.921092,13.866007,7.317245,13.845202,10.010948
20,17.283781,12.004786,13.369422,7.3090034,13.372262,10.241745
21,15.727676,11.599085,13.270453,7.1484003,12.92193,9.854729
22,15.211604,11.34788,12.652975,6.9172287,12.69123,9.738097
23,16.15148,11.597613,13.074945,7.068505,12.8473,10.0112505
24,17.631042,12.067054,13.852474,7.4781947,14.645027,9.9957
25,15.316891,11.271847,12.611048,6.9688697,12.935224,9.840582
26,15.690125,11.442627,12.894865,6.9434023,13.983866,10.099871
27,15.5752735,11.533453,13.078961,7.071909,13.24551,9.790862
28,15.077027,11.215829,12.834035,7.0355544,13.2773,10.43171
29,15.355018,11.459323,13.047881,7.006872,13.289179,9.815885
30,16.998873,11.561877,13.22818,7.0167136,13.1913185,9.8854065
31,15.29297,11.352071,12.645336,6.9131393,12.701632,9.914055
32,16.52714,11.570482,13.140235,6.971318,13.735341,9.981355
33,15.612677,11.29969,12.904652,6.9145722,13.230421,10.07768
