sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0.34873694,0.84442407,0.8807382,0.9089304,0.84836745,0.8604016
0.42727605,0.85711604,0.906923,0.9017023,0.87515885,0.8862541
0.16837229,0.8640729,0.8940833,0.9348779,0.87683237,0.88605267
0.38477105,0.8608539,0.901285,0.92083883,0.87812996,0.90321064
0.38464022,0.8747689,0.9004105,0.91033906,0.88298917,0.8736872
0.3538955,0.8854738,0.9161908,0.92503,0.90759236,0.9074407
0.49283683,0.8721763,0.9091655,0.92072695,0.8966203,0.91688406
0.57636786,0.87477976,0.9225184,0.92349505,0.9096059,0.9248214
0.15459289,0.83598506,0.86841595,0.92274976,0.8688738,0.8672834
0.15683931,0.8667766,0.8798016,0.8924757,0.86420035,0.84576666
0.11440949,0.88349473,0.90648115,0.9171375,0.88312894,0.874934
0.1791077,0.8765243,0.90867233,0.9365393,0.89715177,0.9107991
0.14376855,0.8383243,0.86146474,0.90001625,0.8406087,0.84422547
0.037446395,0.7967023,0.84901506,0.881508,0.81564915,0.81827044
0.17029421,0.8501014,0.915759,0.9304667,0.8882783,0.9159043
0.61471915,0.90234154,0.94477963,0.9460216,0.9166285,0.93401206
0.09253983,0.8627385,0.91377735,0.9112358,0.89343894,0.8824901
0.33060807,0.8683579,0.91860026,0.94311315,0.8954766,0.9026816
0.42710298,0.8989902,0.91687065,0.9509535,0.90643775,0.931045
0.24011777,0.8572507,0.8716039,0.9043309,0.85674113,0.8958595
0.24916469,0.8838233,0.90091985,0.9352555,0.8785661,0.91008484
0.17476907,0.91987425,0.922817,0.9361073,0.92296153,0.91225725
0.22624657,0.8458756,0.8918783,0.9087163,0.88122016,0.8657505
0.2886611,0.8587514,0.8804686,0.91739184,0.8333282,0.88611174
0.27271318,0.8193478,0.86923206,0.8908416,0.8476038,0.84644896
0.15860818,0.8361245,0.89233196,0.8645646,0.8755928,0.8360658
0.108385764,0.7766597,0.85684735,0.8846113,0.79544973,0.8389048
0.2680131,0.88138276,0.90235037,0.91849124,0.85148287,0.90208185
0.046111446,0.7967579,0.8534303,0.7720653,0.75900924,0.82632667
-0.001080108,0.74776137,0.8208951,0.7530652,0.7336855,0.8064143
0.3879947,0.84236336,0.88745236,0.91477317,0.8885722,0.8944104
0.22338901,0.8297604,0.83560836,0.89471763,0.8263713,0.8645854
0.09399923,0.5111218,0.18528864,0.445763,0.6517224,0.6361916
0.56685376,0.48974785,0.28152868,0.55589277,0.54865164,0.74379313
0.000211524,0.6133325,0.6305226,0.57883173,0.58343685,0.59351104
0.17318803,0.8879594,0.90753764,0.9415506,0.91502833,0.9171341
0.35914254,0.90856624,0.9153847,0.93510014,0.8908074,0.89953995
0.5431729,0.93528146,0.94700503,0.9553313,0.91271627,0.9292117
0.35328722,0.9054108,0.94091547,0.94025815,0.91839427,0.9011014
0.4004804,0.88626844,0.91440225,0.93523026,0.90222764,0.9070461
0.48678535,0.8844929,0.92508614,0.92727005,0.90062517,0.9240557
0.22841577,0.84286124,0.8684996,0.9012321,0.7954162,0.8879692
0.33698502,0.85666335,0.8754868,0.89392287,0.8044837,0.87115747
