,sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
0,18.342686,11.770347,13.72349,7.4611325,13.485402,10.240809
1,16.353601,11.421861,13.043892,6.9931026,13.139618,9.782328
2,17.826412,11.620338,13.481673,7.1106353,14.535499,10.448414
3,16.239756,11.456024,13.071932,7.1223235,14.246996,10.359212
4,17.06631,11.811282,13.405187,7.1785707,13.355009,10.09178
5,17.18678,11.445565,13.535172,7.275355,13.790624,10.791124
6,16.202599,11.3494005,13.059078,7.016634,12.850301,10.136308
7,17.452486,11.65402,13.63205,7.300231,13.659203,10.076402
8,17.012074,11.462567,12.969495,6.9366264,12.24426,9.858679
9,18.854082,12.058113,14.082893,7.6805873,14.173804,10.150735
10,17.89844,11.871826,13.672522,7.522073,13.769936,10.118233
11,16.638138,11.872619,13.750331,7.308643,13.404269,10.426894
12,16.424309,11.420503,13.090288,7.007455,13.620832,9.773528
13,17.589417,11.6468315,13.276996,7.085911,14.049141,10.562635
14,16.664782,11.726865,13.241144,7.1512623,12.884947,10.12612
15,16.7428,11.76864,13.449037,7.174895,13.759005,10.543456
16,16.63303,11.396565,12.913154,6.974182,14.118747,10.226427
17,17.073288,11.1277075,13.4834795,7.4590807,13.185075,9.694256
18,18.267061,12.337872,14.0065155,7.6908,15.399348,10.231447
19,18.157696,11.957851,13.505405,7.8491125,13.869121,10.117442
20,16.720036,11.46279,13.294978,7.2236304,13.026092,9.647589
21,16.05966,11.36347,13.286478,7.309759,13.651624,10.130006
22,16.519075,11.587621,13.184946,7.164585,12.674252,9.814635
23,17.545725,12.210241,13.592025,7.4247875,13.676506,10.182493
24,17.08904,11.619592,13.567696,7.5226727,14.540921,9.821568
25,14.718414,11.387109,13.184923,7.110465,12.30608,9.978526
26,17.023151,11.407703,13.193596,7.233638,13.2321,10.36388
27,17.218159,11.695705,13.770348,7.4791846,12.251182,10.066915
28,16.739292,12.109399,13.886438,7.4696465,13.745489,9.773328
29,18.896214,12.749043,14.030914,8.898947,15.783315,10.103361
30,15.789468,11.802588,13.414616,7.444245,12.424463,10.012554
31,17.610008,11.856565,13.45678,7.216577,12.877943,10.027517
32,18.618406,11.903116,13.64679,7.427094,14.233286,9.876434
33,17.480556,11.7217865,13.429012,7.341591,13.61221,9.963999
34,15.796933,11.896365,13.334541,7.11874,12.665063,9.976804
35,16.596714,11.54691,13.310673,7.159457,13.021387,10.340331
36,16.67839,11.474248,13.363757,7.4197288,13.75371,10.50063
37,15.666103,11.325598,12.902622,6.9727902,13.60495,10.195177
38,15.694267,11.480272,13.247967,7.0458655,13.23716,10.211103
39,18.6291,11.920566,13.820688,7.672362,14.202026,10.551351
40,18.238056,11.604526,13.622078,7.58495,14.260137,10.553312
41,16.658276,11.715582,13.1179085,7.2044797,12.881071,10.18338
42,15.665622,11.445672,12.973144,7.137919,12.894336,10.136733
43,16.767118,11.580475,13.414682,7.3556943,12.842591,9.953914
44,17.559645,11.61024,13.374739,7.0730343,13.750117,9.970567
45,16.36141,11.4526005,13.192854,7.1093163,13.250881,10.098531
46,16.504604,11.613917,12.998811,7.19376,13.5639105,10.64169
47,16.664751,11.860791,13.491631,7.443392,13.256338,10.420688
48,15.912717,11.414155,13.108246,7.0285788,12.603518,9.849818
49,17.70137,11.720979,13.961988,8.06046,12.372195,10.061073
50,18.576717,11.943012,13.673715,8.640935,14.453779,10.817181
51,17.410526,12.223257,14.046147,8.2834,14.805968,10.076914
52,18.827574,13.066236,14.205904,10.693738,20.741947,10.629714
53,17.844707,12.054532,13.734655,8.024806,16.314377,11.271405
54,18.45015,13.030584,14.237559,10.710864,20.603155,14.350536
55,15.940014,11.620836,13.165191,7.3333006,12.353601,10.267958
56,18.221691,11.994919,13.899562,8.032472,12.844671,9.69771
57,19.16559,12.412557,14.407847,9.957371,17.15048,14.243592
58,14.864933,11.807368,13.401283,7.483766,12.428087,9.6955805
59,17.266108,11.870111,13.412394,7.316289,13.480877,10.156509
60,19.039612,11.964481,13.163159,7.4591103,13.100796,9.912419
61,16.22185,11.588858,12.939787,7.0606723,12.078926,9.671172
62,18.842505,11.941293,14.180185,8.300991,15.024896,9.895412
63,15.980379,11.714006,13.116662,7.0997415,13.329698,9.98883
64,17.787737,11.566632,13.770579,7.6855607,14.165834,9.835057
65,17.218447,11.721854,13.730559,7.698945,13.329334,10.27544
66,17.153912,11.745661,13.327702,7.2589755,12.354449,9.888172
67,16.967272,11.4236,13.127759,7.34238,14.724124,10.734409
68,14.56782,11.625971,13.157911,7.1428523,13.023584,10.555622
69,14.352537,11.109594,13.009911,6.9901776,12.689567,10.021522
70,14.165978,11.092402,12.536607,7.0471463,13.080826,9.9075775
71,15.876124,11.569626,13.084669,7.201823,13.344266,10.210501
72,15.192247,11.391943,12.834338,7.0277667,12.340174,9.944532
73,16.83273,11.456508,12.916154,6.9687414,14.084607,9.906755
74,16.730085,11.663636,13.387454,7.1866856,13.514412,10.374291
75,16.717054,11.357654,13.327267,7.106754,12.747001,9.92167
76,14.249415,11.357824,12.685075,6.9076495,13.435834,9.904416
77,15.711041,11.418466,12.9403515,7.081286,13.862334,10.459151
78,16.462507,11.386028,13.629375,7.637593,13.863715,10.209909
79,14.743635,11.422627,13.109733,7.2174373,13.879559,9.804095
80,15.334762,11.409584,13.116718,7.0713186,13.998742,9.833965
81,14.673382,11.340616,12.752978,6.972577,13.430447,9.841683
82,16.105257,11.432766,13.095127,7.0364428,12.822201,9.703277
83,14.492936,11.552316,13.351149,7.3788877,13.915189,9.761085
84,15.835091,11.541677,12.9264555,7.0855074,12.525053,9.845806
85,15.401236,11.517755,12.898129,6.906731,13.680837,9.925514
86,17.05767,11.424482,13.206998,7.093805,12.767927,10.296545
87,15.620501,11.439921,13.099292,7.0254617,13.308878,9.8374195
88,17.989347,11.960544,13.872186,7.95059,14.049427,9.564535
89,18.354193,12.272282,13.6732855,7.811658,14.525659,9.8949585
90,13.646836,11.523292,12.980702,7.088628,13.7606535,10.030525
91,13.607948,11.300817,13.010741,6.9175277,13.156165,9.6180935
92,14.058067,11.43913,13.058284,7.009295,13.394775,10.215786
93,15.546209,11.460224,13.464604,7.219154,13.726814,9.663031
94,14.768301,11.429675,13.080093,7.072485,13.257912,10.136268
95,15.33272,11.405523,13.3704,6.9203696,13.365055,9.766198
96,15.42598,11.453824,13.004443,7.130619,13.1004925,9.883312
97,16.394709,11.463867,13.539393,7.264734,13.468847,9.599722
98,16.618652,11.602574,13.145137,7.1054482,14.412179,10.176298
99,16.475798,11.554317,13.21161,7.001578,12.11106,9.938218
100,14.531859,11.407279,12.97809,6.970942,12.783428,9.64475
101,13.839403,11.251395,12.877837,6.8277,13.547767,9.791463
102,16.161282,11.512102,13.169495,7.0593324,12.736343,9.783124
103,14.206282,11.377627,12.805563,6.979219,12.928139,9.4626045
104,16.183372,11.482953,12.743433,7.14522,13.181293,9.635741
105,15.762806,11.478201,12.841171,7.0349503,13.681299,9.945317
106,15.605795,11.166552,12.571624,7.2211165,13.38651,10.617208
107,16.79457,11.428925,13.134922,7.2765427,13.435876,9.665838
108,14.492089,11.295438,12.480131,7.0042844,13.327056,10.563002
109,15.605307,11.5378895,13.10331,7.1317306,13.053757,9.969062
110,17.972322,11.6359,13.660583,7.6859713,13.356619,10.050544
111,17.563879,11.663216,13.423949,7.470652,13.94396,10.044487
112,17.087828,11.768102,13.673539,7.543548,14.388945,10.139813
113,15.466377,11.432292,13.237764,7.215145,13.533833,10.030818
114,15.742922,11.504672,13.213409,7.141332,12.381062,10.306647
115,16.837997,11.80266,13.659666,7.649462,12.437387,9.796172
116,16.176794,11.647064,13.383207,7.361995,14.09869,9.939299
117,17.258574,12.594527,14.286421,8.773967,13.949804,10.036058
118,16.876835,11.724529,13.467295,7.402684,13.393153,9.691458
119,16.761295,11.901864,13.933923,7.826113,12.79218,10.153382
120,17.38746,11.861356,13.961324,7.8778915,12.47294,9.666448
121,17.51193,11.699916,13.270064,7.3559313,14.064339,9.755788
122,17.626999,11.564904,13.605139,7.6697636,14.413355,10.728897
123,15.107279,11.484067,12.708622,7.085476,13.199058,9.884054
124,15.933499,11.436095,13.130553,7.459151,12.988256,10.036085
125,17.927652,12.134437,13.986619,8.375391,14.55647,10.479075
126,19.508728,12.172015,14.208444,8.329331,13.133228,10.690231
127,18.223803,11.649652,13.429238,7.480547,12.205245,9.905058
128,15.470234,11.356132,13.06107,7.1375217,13.749871,10.215323
129,15.921339,11.722899,13.3616705,7.2855015,13.889057,10.20091
130,16.251976,11.41761,12.841264,7.1279407,12.255152,10.515595
131,15.2215605,11.280734,12.959328,7.0239167,13.335125,10.051636
132,14.891303,11.22683,12.627216,7.051452,13.224567,10.6299715
133,16.453213,11.782191,13.230412,7.562548,15.509978,10.682243
134,15.954542,11.377794,12.958564,7.1168504,11.630894,9.863068
135,15.715827,11.639057,13.503975,7.121132,13.536307,9.963622
136,17.305157,11.413775,13.654178,7.418344,13.120236,9.837485
137,15.1764555,11.333237,12.934363,7.014084,13.1361885,9.927656
138,16.414639,12.002356,13.646369,7.3217616,14.259143,10.178423
139,16.12751,11.593893,13.31167,7.279686,14.007483,9.956023
140,17.43994,12.310574,14.009595,8.233863,15.400465,9.521104
141,17.727276,11.770286,13.502503,7.25496,13.650173,9.764761
142,15.290812,11.314101,12.911694,7.036437,13.242382,10.118787
143,16.800552,11.6842375,13.776303,7.2418103,14.397625,10.803018
144,16.49691,11.663861,13.664249,7.388452,13.415722,10.143236
145,15.711149,11.450671,13.305797,7.3833585,13.985898,9.85411
146,15.219965,11.8852,13.629179,7.2930584,12.645774,9.769735
147,14.1165085,11.276009,12.607407,6.8725452,13.371209,9.814506
148,18.166897,11.656583,13.251057,7.2211976,13.430753,9.60171
149,16.621872,11.478302,13.530291,7.616678,13.72612,10.09145
150,16.666101,11.728858,13.250621,7.1581445,14.348822,10.132017
151,14.754786,11.540386,13.134933,7.1592484,13.204146,9.749654
152,16.480537,11.478825,13.232878,6.988737,14.414235,10.359049
153,17.035908,11.644541,13.248735,7.2610607,14.05557,10.549986
154,12.360361,10.984386,12.648594,6.7950273,13.5629635,9.711207
155,15.919385,11.508945,13.010221,7.031624,13.001925,9.96874
156,17.28112,11.753334,13.219832,7.324343,14.735935,9.917752
157,18.233524,11.584806,13.439891,7.3259444,15.525683,9.939915
158,16.298367,11.443123,12.826773,7.321125,14.7708435,10.014658
159,15.598964,11.468504,13.137579,7.1215444,15.278626,10.468022
160,16.86498,11.600159,13.244851,7.3408904,13.369412,9.7256975
161,17.502596,12.07807,13.894379,7.3267765,14.052189,9.658216
162,19.61205,12.278995,14.163926,8.630742,15.134328,10.386901
163,19.310204,11.953996,13.692013,7.9355717,16.539127,10.134316
164,18.354105,11.6995325,13.349733,7.3967113,13.725666,10.104869
165,14.863426,11.342583,12.989175,7.0653377,13.391526,10.01282
166,17.70916,12.021323,13.962812,8.044878,15.200736,10.4582405
167,17.298208,11.783417,13.583801,7.240047,14.724698,10.329809
168,15.627329,12.063062,13.212066,7.291628,13.482087,9.828966
169,17.446562,11.645817,13.241436,7.0962586,13.775601,9.824441
170,17.673271,11.518585,13.246151,7.0747533,13.375357,10.002138
171,18.479797,11.582064,13.624937,7.775202,14.018655,9.961725
172,15.169993,11.221377,12.94669,7.052987,12.994845,9.793257
173,16.84825,12.146509,13.44252,7.444921,13.547714,10.303416
174,14.454561,11.418216,12.939611,7.032415,13.414114,10.213534
175,17.568455,11.590253,13.106054,7.138149,14.814083,9.64193
176,16.326712,11.90596,13.428687,7.3522315,14.279961,10.125264
177,15.742019,11.460145,12.976285,7.058217,13.801842,10.1334095
178,16.4883,12.306779,13.669748,7.490138,12.785549,10.137654
179,19.483551,12.571956,13.979006,8.839871,15.2197895,9.94839
180,15.564586,11.234197,12.704797,7.0521555,13.744751,10.603023
181,17.869312,11.5920105,13.254069,7.271693,13.7170105,10.578931
182,17.059664,11.6289015,12.866742,7.071168,13.419059,10.144403
183,15.401469,11.613165,12.911703,7.079352,12.983643,9.659089
184,14.914711,11.420221,13.050747,7.0623503,14.539298,10.689372
185,19.42111,11.699167,13.639301,7.7317567,12.6186075,11.206026
186,19.488749,12.793039,14.091225,8.972821,14.501693,10.90688
187,16.268862,11.911826,13.639392,7.242655,13.886559,9.597925
188,15.650419,11.842356,13.201869,7.2806516,12.856994,10.50112
189,16.461536,11.517415,13.268306,7.1200237,13.665207,9.921673
190,16.958967,11.917757,13.235918,7.462745,15.313116,10.515496
191,16.631145,11.6457815,13.620954,7.2747207,14.9979515,9.961961
192,16.944164,11.611139,13.024903,7.196649,13.000189,10.289678
193,14.0480795,11.605749,13.141489,7.087445,13.813852,10.434237
194,15.394236,11.382705,12.706572,7.2083225,13.12583,10.558158
195,17.175013,11.713732,13.086363,7.262344,13.526142,10.009146
196,16.428505,11.429722,13.130277,7.124141,13.308552,9.746854
197,16.21682,11.349912,13.010695,7.1217875,13.121189,10.340883
198,15.359061,11.260206,12.702247,6.951685,12.407453,9.671589
199,15.856406,11.384656,12.825921,7.030846,12.497045,9.764015
200,14.778399,11.310395,13.358678,7.0779123,14.760102,10.072248
201,16.789848,11.526002,13.137218,7.152762,12.914219,9.933365
202,15.852256,11.124394,13.077811,6.943315,13.637289,9.868329
203,17.357662,11.366849,13.137882,7.0193057,13.914625,9.830126
204,19.293787,12.646697,13.978546,8.317405,15.314778,10.336378
205,14.9836035,11.045846,12.512817,6.907028,13.382278,10.115963
206,15.639854,11.202367,12.612586,7.037083,13.718436,10.53658
207,16.55412,11.268453,13.028774,7.1682663,13.980324,9.969639
208,15.870265,11.363691,12.886949,7.1399646,13.961455,10.185905
209,16.57762,11.2148695,12.838553,6.9165545,12.872673,10.408493
210,15.879975,11.713939,13.206194,7.239249,14.504419,10.092001
211,17.846659,11.775842,13.373139,7.5449133,14.059209,10.1544895
212,17.294603,11.24017,12.988045,7.0425377,14.119983,9.603569
213,15.028428,11.249049,12.772118,6.9480276,14.163907,10.331274
214,15.910994,11.241864,12.921234,6.951434,13.819279,10.203785
215,14.587115,11.298467,12.973562,7.0072155,12.585,10.272693
216,16.766777,11.772017,13.391129,7.202793,13.196581,10.035381
217,15.649144,11.443695,12.879908,7.082572,13.692399,9.825452
218,16.183529,11.46175,13.155108,7.224783,13.632913,10.172362
219,15.844869,11.333019,13.013636,7.0490375,14.021745,10.003996
220,16.319653,11.475273,13.013491,7.0823436,12.82407,10.084342
221,15.746654,11.571258,13.126313,7.1294327,12.806829,10.252287
222,15.691538,11.364793,12.642882,7.1182437,12.6019,10.72489
223,16.35351,11.608449,13.545395,7.548084,13.147492,10.9260235
224,14.529145,11.425496,12.863241,7.2250633,12.873142,10.580908
225,15.2287445,11.523436,13.272786,7.309872,12.298094,10.023578
226,16.160776,11.377011,12.7912855,7.1395745,13.259922,10.614147
227,15.286038,11.377298,12.878149,7.061502,12.377088,9.953388
228,13.945515,11.469785,12.805961,7.072942,13.812836,10.0956745
229,14.031655,11.306296,13.108874,7.1672025,12.908101,9.784205
230,15.583624,11.469088,13.261868,7.2839756,13.170334,10.386731
231,17.803802,11.572777,13.237568,7.3108916,14.480242,10.206799
232,15.6695,11.319523,12.763524,7.1207557,12.093374,9.872452
233,15.780305,11.832587,13.804951,7.6650877,13.586898,10.4055805
234,16.074059,11.47998,13.466845,7.601779,14.550287,10.087603
235,16.596571,11.4984,13.146081,7.198294,13.401693,10.253726
236,15.621464,11.567402,13.4814205,7.481564,14.372459,10.237649
237,15.343046,11.647185,13.267337,7.2826014,12.995944,10.544885
238,15.775178,11.459931,13.099827,7.249261,13.039175,9.9551525
239,15.176981,11.419574,13.051727,7.098767,12.712361,10.260471
240,15.347405,11.566018,13.587854,7.47702,13.369095,10.488584
241,19.774015,13.036992,14.576947,9.843957,14.605095,11.145505
242,17.67285,11.556561,13.205008,7.096746,12.803828,10.129863
243,15.873546,11.562807,13.47908,7.1929626,12.310622,10.230817
244,15.542982,11.780242,13.0298605,7.2068214,13.545844,10.262942
245,15.388583,11.358877,13.036246,7.1865187,12.76736,10.082975
246,16.466362,11.629191,13.249591,7.110499,13.294779,9.936996
247,13.244484,11.356544,12.7638645,7.1299067,12.336021,10.017998
248,15.139353,11.624786,13.313685,7.356133,12.631114,10.352004
249,15.069047,11.581564,13.049199,7.1548777,12.690965,10.501867
250,16.261225,11.606864,13.394426,7.200144,12.503692,9.879832
251,15.926682,11.478887,13.216313,7.1629105,12.608015,10.199657
252,19.105541,12.45795,13.949657,7.907338,14.659123,10.198043
253,16.102112,11.895086,13.448512,7.3990026,13.397313,9.974897
254,15.582951,11.435263,13.021323,7.118604,12.693179,9.627032
255,15.9475565,11.739796,13.655819,7.459644,14.307366,9.8077345
256,15.504502,11.750995,13.402513,7.5262156,13.701231,10.282857
257,14.918746,11.616278,13.3189335,7.3140564,14.408574,10.016396
258,16.196012,11.497877,13.487808,7.3664927,15.894479,10.152179
259,15.122037,11.345495,12.95227,6.9789195,14.134263,9.860755
260,15.408291,11.540973,13.150514,7.053051,13.728301,9.929028
261,18.582722,12.619207,13.935827,7.9336667,14.360737,9.968682
262,14.73406,11.40647,13.052835,7.001867,13.117053,9.6514
263,17.621428,11.997795,13.796648,7.704793,14.972043,9.672531
264,17.768091,11.651423,13.689525,7.7733073,14.346523,10.281529
265,16.137373,11.421251,13.367464,7.1499605,13.832913,9.865936
266,14.19264,11.393091,13.386433,7.2455554,13.848987,10.214127
267,18.089865,11.8463955,13.574095,7.5033903,12.397152,9.884085
268,14.50823,11.285375,13.049008,6.9940777,13.784622,9.5388975
269,15.765372,11.580984,13.347074,7.069514,13.197467,9.800953
270,15.961293,11.649108,12.849419,7.005206,12.969374,10.141871
271,16.115885,11.449205,13.247783,7.262506,13.00649,9.863227
272,17.122728,11.487783,13.496082,7.2174597,12.828067,9.751204
273,17.91941,11.441922,13.0929985,7.0651865,13.31039,9.853329
274,15.4985285,11.46553,12.89841,7.03376,13.233609,9.719518
275,14.978219,11.618104,13.338598,7.245882,13.08173,9.508688
276,17.77034,11.968829,13.7113695,7.540323,13.450382,10.276888
277,16.386646,11.704469,12.887163,7.3945317,14.097563,10.1376915
278,17.87896,12.021038,13.379013,7.7579446,15.153301,10.756509
279,15.990316,11.487682,12.964677,7.1111383,13.424028,10.438055
280,16.707619,11.529762,13.307884,7.5564804,14.128052,10.151681
281,14.973424,11.377768,12.716902,7.177239,13.338447,10.012644
282,15.5279,11.603992,12.826163,7.0276403,13.846373,10.586844
283,15.961021,11.468518,13.31623,7.3427973,14.1756315,10.193836
284,15.23028,11.644708,13.00762,7.07766,13.479647,10.079582
