Recording,Recording1,Recording1,Recording1
Participant,Participant4,Participant4,Participant4
Variable1,Value1,Value1,Value1
Variable2,Value３,Value３,Value３
Timeline,Timeline1,Timeline1,Timeline1
TOI,My Time of Interest 001,Text,Entire Recording
Interval,1,1,1
Media,Text,Text,Text
Duration_of_interval,156531,156531,235348
Start_of_interval,78640,78640,0
Last_key_press,m,m,m
Total_duration_of_fixations.梅雨明けと共に日本の真夏は始まる。,2542,2542,2542
Total_duration_of_fixations.大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,2633,2633,2633
Total_duration_of_fixations.梅雨明けの直後は、梅雨明け十日といい、太平洋高気圧の勢力が強く気圧配置が安定しているので穏やかな晴天が続くことが多く、夕立も発生しにくいので、レジャーには最適だという意見もある。,11783,11783,11783
Total_duration_of_fixations.これは、梅雨前線を押し上げた小笠原高気圧の強い状態が、小笠原高気圧の活動の強弱の周期、つまり10日くらい続くためである。,13792,13792,13792
Total_duration_of_fixations.日本列島に張り出してくる小笠原高気圧から暖かく湿った空気が日本列島に入り、気圧の差が小さく、等圧線の間隔が広いために風も弱いので非常に蒸し暑くなる。,9818,9818,9818
Total_duration_of_fixations.風が弱い上に湿度が高いため、体感温度は熱帯地方を上回るほどである。,12133,12133,12133
Total_duration_of_fixations.さらに、高い湿度が局地的に積乱雲を発生させ、雷を伴い激しく雨が降る夕立が起こりやすい。,6608,6608,6608
Total_duration_of_fixations.夏の強い日射で暖まった地上付近の湿った空気が強い上昇気流で上昇し雲となり、上空まで達する積乱雲を作るのである。,9042,9042,9042
Total_duration_of_fixations.このような夏の典型的な気圧配置を南高北低型という。,12483,12483,12483
Total_duration_of_fixations.高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,16033,16033,16033
Total_duration_of_fixations.風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。,12933,12933,12933
Total_duration_of_fixations.8月7日前後の立秋の頃が最も暑くなる。,4842,4842,4842
Total_duration_of_fixations.一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,10767,10767,10767
Total_duration_of_fixations.そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。,5950,5950,5950
Total_duration_of_fixations.また、主に7月から9月には、台風が日本に接近することがある。,783,783,783
Total_duration_of_fixations.詳しくは#台風を参照のこと。,0,0,0
Total_duration_of_fixations.梅,0,0,0
Total_duration_of_fixations.雨,0,0,0
Total_duration_of_fixations.明,0,0,0
Total_duration_of_fixations.け,1450,1450,1450
Total_duration_of_fixations.と,0,0,0
Total_duration_of_fixations.共,0,0,0
Total_duration_of_fixations.に,500,500,500
Total_duration_of_fixations.日,0,0,0
Total_duration_of_fixations.本,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.真,183,183,183
Total_duration_of_fixations.夏,0,0,0
Total_duration_of_fixations.は,200,200,200
Total_duration_of_fixations.始,0,0,0
Total_duration_of_fixations.ま,0,0,0
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.。,208,208,208
Total_duration_of_fixations.大,0,0,0
Total_duration_of_fixations.暑,0,0,0
Total_duration_of_fixations.（,0,0,0
Total_duration_of_fixations.7,0,0,0
Total_duration_of_fixations.月,0,0,0
Total_duration_of_fixations.2,0,0,0
Total_duration_of_fixations.3,0,0,0
Total_duration_of_fixations.日,0,0,0
Total_duration_of_fixations.頃,0,0,0
Total_duration_of_fixations.）,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.頃,0,0,0
Total_duration_of_fixations.に,0,0,0
