iter	Passed	Remaining
0	14	14024
1	27	13624
2	42	14021
3	57	14291
4	72	14362
5	86	14316
6	100	14285
7	114	14157
8	127	14090
9	142	14071
10	156	14078
11	172	14161
12	186	14184
13	203	14314
14	217	14251
15	230	14199
16	243	14090
17	257	14031
18	271	14000
19	285	13991
20	299	13967
21	313	13956
22	328	13946
23	341	13880
24	355	13866
25	370	13877
26	385	13877
27	399	13885
28	415	13921
29	430	13908
30	443	13866
31	456	13818
32	470	13800
33	486	13820
34	500	13799
35	514	13771
36	528	13744
37	541	13712
38	555	13683
39	569	13660
40	582	13635
41	596	13605
42	609	13574
43	622	13528
44	636	13506
45	649	13477
46	663	13450
47	676	13420
48	689	13374
49	702	13355
50	716	13331
51	731	13342
52	748	13368
53	762	13359
54	775	13325
55	788	13288
56	802	13268
57	816	13265
58	830	13247
59	843	13215
60	857	13194
61	870	13164
62	883	13134
63	896	13117
64	910	13092
65	922	13060
66	935	13028
67	950	13031
68	964	13015
69	978	12996
70	991	12973
71	1004	12947
72	1017	12923
73	1031	12912
74	1045	12896
75	1059	12879
76	1072	12859
77	1085	12825
78	1098	12809
79	1111	12786
80	1126	12778
81	1141	12775
82	1154	12754
83	1168	12738
84	1181	12720
85	1195	12706
86	1209	12696
87	1223	12683
88	1237	12662
89	1249	12637
90	1263	12619
91	1276	12598
92	1289	12575
93	1302	12550
94	1314	12523
95	1328	12513
96	1342	12499
97	1357	12496
98	1371	12484
99	1385	12466
100	1397	12441
101	1411	12427
102	1425	12410
103	1439	12398
104	1452	12378
105	1465	12360
106	1479	12347
107	1493	12338
108	1507	12325
109	1520	12306
110	1534	12293
111	1548	12275
112	1561	12258
113	1575	12247
114	1590	12236
115	1604	12230
116	1618	12213
117	1631	12191
118	1644	12175
119	1658	12161
120	1671	12145
121	1685	12129
122	1699	12117
123	1711	12094
124	1725	12079
125	1740	12074
126	1755	12065
127	1769	12054
128	1782	12038
129	1796	12021
130	1809	12004
131	1823	11992
132	1837	11977
133	1850	11961
134	1864	11949
135	1877	11927
136	1891	11912
137	1904	11898
138	1919	11888
139	1932	11871
140	1945	11855
141	1958	11833
142	1972	11818
143	1985	11803
144	1998	11785
145	2011	11767
146	2025	11753
147	2039	11739
148	2053	11726
149	2066	11711
150	2080	11696
151	2092	11673
152	2105	11656
153	2120	11646
154	2133	11631
155	2146	11615
156	2160	11599
