model,PFI,SHAP,Date
log,"{'Minimum_duration_of_fixations': 0.0005952380952380931, 'Total_duration_of_whole_fixations': 0.11785714285714284, 'Minimum_duration_of_whole_fixations': -0.0005952380952380931, 'Average_duration_of_Visit': 0.004761904761904745, 'Total_duration_of_fixations.1': 0.20833333333333331, '延べ語数': 0.0005952380952380931, '漢字使用率': 0.0, '漢字語彙難易度（常）（分子）': 0.0, '漢字語彙難易度（高）（分子）': 0.0, '漢語使用率（名詞のみ）': 0.0, '総文字数': 0.0071428571428571175, '連体修飾率': 0.0}","{'Minimum_duration_of_fixations': -4.292186943862034e-18, 'Total_duration_of_whole_fixations': -4.063971113703193e-18, 'Minimum_duration_of_whole_fixations': -4.198802695846372e-18, 'Average_duration_of_Visit': -4.272580736752026e-18, 'Total_duration_of_fixations.1': -4.180289629580108e-18, '延べ語数': -4.115534945501341e-18, '漢字使用率': -4.333686902432332e-18, '漢字語彙難易度（常）（分子）': -1.8690974066597486e-18, '漢字語彙難易度（高）（分子）': -2.204110691141433e-18, '漢語使用率（名詞のみ）': -3.7200175784429735e-18, '総文字数': -4.652013850556693e-18, '連体修飾率': -1.2946883473193637e-18}",2025-01-14_21-04-59
rf,"{'Minimum_duration_of_fixations': 0.027976190476190488, 'Total_duration_of_whole_fixations': 0.05654761904761907, 'Minimum_duration_of_whole_fixations': 0.01726190476190479, 'Average_duration_of_Visit': 0.0267857142857143, 'Total_duration_of_fixations.1': 0.0785714285714286, '延べ語数': 0.018452380952380998, '漢字使用率': 0.025000000000000022, '漢字語彙難易度（常）（分子）': 0.014880952380952417, '漢字語彙難易度（高）（分子）': 0.01309523809523816, '漢語使用率（名詞のみ）': 0.023809523809523836, '総文字数': 0.02440476190476193, '連体修飾率': 0.015476190476190532}","{'Minimum_duration_of_fixations': -4.9466803605307204e-18, 'Total_duration_of_whole_fixations': -4.836974150940858e-18, 'Minimum_duration_of_whole_fixations': 6.339283731447104e-15, 'Average_duration_of_Visit': -4.8285321156920014e-18, 'Total_duration_of_fixations.1': -4.848126236563887e-18, '延べ語数': -4.546891853518791e-18, '漢字使用率': -2.4951066669603383e-17, '漢字語彙難易度（常）（分子）': -1.6465928395257428e-17, '漢字語彙難易度（高）（分子）': 1.4331492686937635e-17, '漢語使用率（名詞のみ）': -7.123216214163645e-18, '総文字数': -2.7521401368790213e-14, '連体修飾率': 2.5719118836389e-17}",2025-01-14_21-04-59
gb,"{'Minimum_duration_of_fixations': 0.03928571428571426, 'Total_duration_of_whole_fixations': 0.1226190476190476, 'Minimum_duration_of_whole_fixations': 0.06488095238095234, 'Average_duration_of_Visit': 0.09047619047619045, 'Total_duration_of_fixations.1': 0.19047619047619044, '延べ語数': 0.04345238095238091, '漢字使用率': 0.07499999999999998, '漢字語彙難易度（常）（分子）': 0.02380952380952377, '漢字語彙難易度（高）（分子）': 0.028571428571428536, '漢語使用率（名詞のみ）': 0.07023809523809521, '総文字数': 0.09047619047619046, '連体修飾率': 0.06249999999999998}","{'Minimum_duration_of_fixations': -8.065885186761297e-14, 'Total_duration_of_whole_fixations': 1.0466421390036194e-13, 'Minimum_duration_of_whole_fixations': -1.9039748283201047e-14, 'Average_duration_of_Visit': -1.2366015334167225e-14, 'Total_duration_of_fixations.1': -2.7099365514241905e-14, '延べ語数': -8.96194092687644e-14, '漢字使用率': -2.841675822748444e-17, '漢字語彙難易度（常）（分子）': 4.283991051400192e-17, '漢字語彙難易度（高）（分子）': 4.1904726369048374e-17, '漢語使用率（名詞のみ）': 1.9295148095708854e-17, '総文字数': -8.050959038983195e-14, '連体修飾率': -2.72575857553479e-17}",2025-01-14_21-04-59
svm,"{'Minimum_duration_of_fixations': 0.0, 'Total_duration_of_whole_fixations': 0.015476190476190444, 'Minimum_duration_of_whole_fixations': 0.0, 'Average_duration_of_Visit': -0.0011904761904761862, 'Total_duration_of_fixations.1': 0.016071428571428535, '延べ語数': 0.0, '漢字使用率': 0.0, '漢字語彙難易度（常）（分子）': 0.0, '漢字語彙難易度（高）（分子）': 0.0, '漢語使用率（名詞のみ）': 0.0, '総文字数': 0.0, '連体修飾率': 0.0}","{'Minimum_duration_of_fixations': 2.0331991398084903e-18, 'Total_duration_of_whole_fixations': 1.2307198807071937e-15, 'Minimum_duration_of_whole_fixations': 1.0371883419868706e-13, 'Average_duration_of_Visit': -1.856853882531558e-14, 'Total_duration_of_fixations.1': 1.8415269977679178e-18, '延べ語数': -3.075336248362674e-13, '漢字使用率': 1.0635657334729607e-12, '漢字語彙難易度（常）（分子）': -5.3856052042652144e-12, '漢字語彙難易度（高）（分子）': 1.7709772144105845e-18, '漢語使用率（名詞のみ）': 1.1744162527644404e-12, '総文字数': 6.390344645675207e-19, '連体修飾率': 1.8438380527170193e-12}",2025-01-14_21-04-59
knn,"{'Minimum_duration_of_fixations': 0.0017857142857142794, 'Total_duration_of_whole_fixations': 0.21845238095238093, 'Minimum_duration_of_whole_fixations': 0.0005952380952380709, 'Average_duration_of_Visit': 0.1714285714285714, 'Total_duration_of_fixations.1': 0.20892857142857135, '延べ語数': 0.0, '漢字使用率': 0.0, '漢字語彙難易度（常）（分子）': 0.0, '漢字語彙難易度（高）（分子）': 0.0, '漢語使用率（名詞のみ）': 0.0, '総文字数': 0.0, '連体修飾率': 0.0}","{'Minimum_duration_of_fixations': 0.0, 'Total_duration_of_whole_fixations': 0.0, 'Minimum_duration_of_whole_fixations': 0.0, 'Average_duration_of_Visit': 0.0, 'Total_duration_of_fixations.1': 0.0, '延べ語数': 0.0, '漢字使用率': 0.0, '漢字語彙難易度（常）（分子）': 0.0, '漢字語彙難易度（高）（分子）': 0.0, '漢語使用率（名詞のみ）': 0.0, '総文字数': 0.0, '連体修飾率': 0.0}",2025-01-14_21-04-59
mlp,"{'Minimum_duration_of_fixations': 0.011309523809523825, 'Total_duration_of_whole_fixations': 0.01785714285714287, 'Minimum_duration_of_whole_fixations': -0.010119047619047616, 'Average_duration_of_Visit': 0.05952380952380952, 'Total_duration_of_fixations.1': 0.027380952380952384, '延べ語数': -0.0125, '漢字使用率': -0.0035714285714285587, '漢字語彙難易度（常）（分子）': -0.0035714285714285587, '漢字語彙難易度（高）（分子）': -0.0005952380952380931, '漢語使用率（名詞のみ）': -0.0011904761904761862, '総文字数': -0.009523809523809523, '連体修飾率': -0.0017857142857142794}","{'Minimum_duration_of_fixations': -1.5154930409631697e-18, 'Total_duration_of_whole_fixations': -2.1409362765386193e-18, 'Minimum_duration_of_whole_fixations': -2.0053767203110187e-18, 'Average_duration_of_Visit': -1.9436260017110676e-18, 'Total_duration_of_fixations.1': -2.6371906961386763e-18, '延べ語数': -2.43700050929046e-18, '漢字使用率': -2.344762654824692e-18, '漢字語彙難易度（常）（分子）': 8.381033040823832e-19, '漢字語彙難易度（高）（分子）': -3.2660856855091145e-18, '漢語使用率（名詞のみ）': -2.829662799441316e-18, '総文字数': -2.547431421416183e-18, '連体修飾率': -1.1847490168148149e-18}",2025-01-14_21-04-59
nb,"{'Minimum_duration_of_fixations': 2.2204460492503132e-17, 'Total_duration_of_whole_fixations': 0.03214285714285718, 'Minimum_duration_of_whole_fixations': 0.004166666666666674, 'Average_duration_of_Visit': 0.005952380952380954, 'Total_duration_of_fixations.1': 0.03511904761904766, '延べ語数': -0.00952380952380949, '漢字使用率': -0.0005952380952380931, '漢字語彙難易度（常）（分子）': 0.01369047619047623, '漢字語彙難易度（高）（分子）': -0.0035714285714285366, '漢語使用率（名詞のみ）': 0.0005952380952380931, '総文字数': 0.0011904761904761862, '連体修飾率': -0.005357142857142838}","{'Minimum_duration_of_fixations': -8.618565280175287e-19, 'Total_duration_of_whole_fixations': 1.4609166094961924e-19, 'Minimum_duration_of_whole_fixations': -2.202063797265073e-18, 'Average_duration_of_Visit': -1.3864051252666872e-18, 'Total_duration_of_fixations.1': 8.746867768185375e-19, '延べ語数': 9.848040850792652e-19, '漢字使用率': -1.7657006809049643e-18, '漢字語彙難易度（常）（分子）': 4.839342245449876e-18, '漢字語彙難易度（高）（分子）': 1.2344511959263515e-18, '漢語使用率（名詞のみ）': -1.761457449188243e-18, '総文字数': -5.347500030401888e-19, '連体修飾率': 1.4275328604392474e-18}",2025-01-14_21-04-59
model,PFI,SHAP,Date
log,"{'Interest': 0.0, ""readers'_vocabulary"": 0.001860465116279042, 'Average_duration_of_Visit': 0.007906976744186023, 'Regression-path_duration': 0.005116279069767427, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}","{'Interest': 0.0, ""readers'_vocabulary"": 1.1177309303764953e-08, 'Average_duration_of_Visit': 2.0793416046409094e-08, 'Regression-path_duration': -8.46909931761963e-08, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 5.9704779212078744e-09, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.0, 'Norm_model1': 0.0, 'Norm_model3': 0.0, 'Avecossim_model4': 0.0, 'Avecossim_model5': 0.0}",2025-01-18_09-48-43
rf,"{'Interest': 0.05441860465116277, ""readers'_vocabulary"": 0.18372093023255812, 'Average_duration_of_Visit': 0.08511627906976742, 'Regression-path_duration': 0.03116279069767438, 'Percentage_of_katakana_verb': 0.0, 'Number_of_easy_words': 0.03116279069767438, 'Percentage_of_easy_words': 0.044651162790697654, 'Percentage_of_low_difficulty_kanzi_words': 0.020930232558139483, 'Number_of_low_difficulty_kanzi_words': 0.004651162790697638, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzis': 0.018604651162790663, 'Norm_model1': 0.05255813953488371, 'Norm_model3': 0.05395348837209302, 'Avecossim_model4': 0.06279069767441854, 'Avecossim_model5': 0.04511627906976741}","{'Interest': -1.6278223448607185e-08, ""readers'_vocabulary"": -2.258578976270252e-09, 'Average_duration_of_Visit': -3.77270327656348e-09, 'Regression-path_duration': -4.8799986922004286e-08, 'Percentage_of_katakana_verb': 4.9873499373690816e-08, 'Number_of_easy_words': 6.129720723279955e-07, 'Percentage_of_easy_words': -2.2126832451013426e-09, 'Percentage_of_low_difficulty_kanzi_words': -4.9930307983711924e-08, 'Number_of_low_difficulty_kanzi_words': -6.675462685021624e-08, 'Percentage_of_extra_difficulty_kanzi_words': -1.0790975618407524e-08, 'Number_of_low_difficulty_kanzis': -4.604268781143952e-08, 'Norm_model1': -7.689287010205314e-08, 'Norm_model3': 2.7908701412335638e-08, 'Avecossim_model4': -1.3253481784685072e-07, 'Avecossim_model5': -2.344858111305384e-07}",2025-01-18_09-48-43
