model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.04883720930232556, 'Peak_velocity_of_entry_saccade': 0.00558139534883717, 'First-pass_first_fixation_duration_per_characters': 0.002325581395348797, 'Percentage_of_katakana_noun': -2.2204460492503132e-17, 'Percentage_of_extra_difficulty_kanzi_words': 0.002325581395348819, 'Number_of_regular_difficulty_kanzi_words': 0.013488372093023226, 'Number_of_extra_difficulty_kanzis': 0.00790697674418599, 'Cossim_model6': 0.010697674418604586}",2025-01-21_13-22-48
rf,"{'Maximum_duration_of_Visit': 0.0, 'Peak_velocity_of_entry_saccade': 0.0, 'First-pass_first_fixation_duration_per_characters': 0.0, 'Percentage_of_katakana_noun': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Cossim_model6': 0.0}",2025-01-21_13-22-48
gb,"{'Maximum_duration_of_Visit': 0.15302325581395343, 'Peak_velocity_of_entry_saccade': 0.0511627906976744, 'First-pass_first_fixation_duration_per_characters': 0.05999999999999996, 'Percentage_of_katakana_noun': 0.03767441860465115, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.04232558139534881, 'Number_of_extra_difficulty_kanzis': -0.0023255813953488857, 'Cossim_model6': 0.12418604651162787}",2025-01-21_13-22-48
svm,"{'Maximum_duration_of_Visit': 0.1279069767441861, 'Peak_velocity_of_entry_saccade': 0.05162790697674424, 'First-pass_first_fixation_duration_per_characters': 0.05813953488372099, 'Percentage_of_katakana_noun': 0.06604651162790705, 'Percentage_of_extra_difficulty_kanzi_words': 0.007906976744186101, 'Number_of_regular_difficulty_kanzi_words': 0.06558139534883725, 'Number_of_extra_difficulty_kanzis': 0.013488372093023292, 'Cossim_model6': 0.07860465116279072}",2025-01-21_13-22-48
knn,"{'Maximum_duration_of_Visit': 0.06697674418604653, 'Peak_velocity_of_entry_saccade': 0.026046511627906988, 'First-pass_first_fixation_duration_per_characters': 0.019069767441860487, 'Percentage_of_katakana_noun': 0.016744186046511622, 'Percentage_of_extra_difficulty_kanzi_words': 0.00046511627906977717, 'Number_of_regular_difficulty_kanzi_words': 0.039999999999999994, 'Number_of_extra_difficulty_kanzis': 0.007441860465116279, 'Cossim_model6': 0.053023255813953486}",2025-01-21_13-22-48
mlp,"{'Maximum_duration_of_Visit': 0.05162790697674413, 'Peak_velocity_of_entry_saccade': 0.0018604651162790198, 'First-pass_first_fixation_duration_per_characters': 0.002325581395348819, 'Percentage_of_katakana_noun': 0.008837209302325543, 'Percentage_of_extra_difficulty_kanzi_words': 0.002325581395348797, 'Number_of_regular_difficulty_kanzi_words': 0.004186046511627861, 'Number_of_extra_difficulty_kanzis': 0.00976744186046503, 'Cossim_model6': 0.006976744186046458}",2025-01-21_13-22-48
nb,"{'Maximum_duration_of_Visit': 0.03720930232558135, 'Peak_velocity_of_entry_saccade': 0.014418604651162759, 'First-pass_first_fixation_duration_per_characters': -0.0041860465116279055, 'Percentage_of_katakana_noun': 0.012558139534883717, 'Percentage_of_extra_difficulty_kanzi_words': -0.005581395348837237, 'Number_of_regular_difficulty_kanzi_words': 0.006511627906976703, 'Number_of_extra_difficulty_kanzis': 0.0013953488372092648, 'Cossim_model6': 0.03395348837209298}",2025-01-21_13-22-48
log,"{'Maximum_duration_of_Visit': 0.04883720930232556, 'Peak_velocity_of_entry_saccade': 0.00558139534883717, 'First-pass_first_fixation_duration_per_characters': 0.002325581395348797, 'Percentage_of_katakana_noun': -2.2204460492503132e-17, 'Percentage_of_extra_difficulty_kanzi_words': 0.002325581395348819, 'Number_of_regular_difficulty_kanzi_words': 0.013488372093023226, 'Number_of_extra_difficulty_kanzis': 0.00790697674418599, 'Cossim_model6': 0.010697674418604586}",2025-01-21_14-02-45
rf,"{'Maximum_duration_of_Visit': 0.0, 'Peak_velocity_of_entry_saccade': 0.0, 'First-pass_first_fixation_duration_per_characters': 0.0, 'Percentage_of_katakana_noun': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Cossim_model6': 0.0}",2025-01-21_14-02-45
gb,"{'Maximum_duration_of_Visit': 0.15302325581395343, 'Peak_velocity_of_entry_saccade': 0.0511627906976744, 'First-pass_first_fixation_duration_per_characters': 0.05999999999999996, 'Percentage_of_katakana_noun': 0.03767441860465115, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.04232558139534881, 'Number_of_extra_difficulty_kanzis': -0.0023255813953488857, 'Cossim_model6': 0.12418604651162787}",2025-01-21_14-02-45
