model,PFI,Date,
log,"{'Duration_of_first_fixation': 0.0009302325581395543, 'Maximum_duration_of_Visit': 0.04139534883720932, 'Number_of_saccades_in_AOI': -0.0009302325581395099, 'Time_to_entry_saccade': 0.007906976744186034, 'First-pass_first_fixation_duration_per_characters': -0.006976744186046502, 'Regression-path_duration': -0.0032558139534883514, 'Re-reading_duration_per_characters': -0.004186046511627883, 'Number_of_regression': -0.005581395348837193, 'Percentage_of_katakana_verb_numerator': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0013953488372093314, 'Percentage_of_regular_difficulty_kanzi_words': 0.0013953488372093093, 'Number_of_regular_difficulty_kanzi_words': 0.0009302325581395321, 'Number_of_high_difficulty_kanzi_words': 0.0013953488372093314, 'Percentage_of_extra_difficulty_kanzis': 0.0013953488372093093, 'Number_of_extra_difficulty_kanzis': 0.010697674418604631, 'Number_of_characters_of_adnominal_modification': -0.0018604651162790198, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0041860465116279055, 'Cossim_model6': -0.0023255813953487747, 'Norm_model6': 0.0041860465116279055}",2025-01-21_16-23-25,
rf,"{'Duration_of_first_fixation': 0.0, 'Maximum_duration_of_Visit': 0.0, 'Number_of_saccades_in_AOI': 0.0, 'Time_to_entry_saccade': 0.0, 'First-pass_first_fixation_duration_per_characters': 0.0, 'Regression-path_duration': 0.0, 'Re-reading_duration_per_characters': 0.0, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_high_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzis': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Number_of_characters_of_adnominal_modification': 0.0, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-01-21_16-23-25,
gb,"{'Duration_of_first_fixation': 0.03069767441860465, 'Maximum_duration_of_Visit': 0.06976744186046509, 'Number_of_saccades_in_AOI': 0.018139534883720953, 'Time_to_entry_saccade': 0.01488372093023258, 'First-pass_first_fixation_duration_per_characters': 0.0, 'Regression-path_duration': 0.009767441860465121, 'Re-reading_duration_per_characters': 0.0018604651162791087, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581727, 'Number_of_regular_difficulty_kanzi_words': 0.0046511627906976605, 'Number_of_high_difficulty_kanzi_words': 0.006976744186046546, 'Percentage_of_extra_difficulty_kanzis': 0.0023255813953488857, 'Number_of_extra_difficulty_kanzis': 0.0, 'Number_of_characters_of_adnominal_modification': 0.013488372093023226, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0683720930232558, 'Norm_model6': 0.06604651162790698}",2025-01-21_16-23-25,
svm,"{'Duration_of_first_fixation': 0.05069767441860469, 'Maximum_duration_of_Visit': 0.07069767441860468, 'Number_of_saccades_in_AOI': 0.06139534883720934, 'Time_to_entry_saccade': 0.05255813953488377, 'First-pass_first_fixation_duration_per_characters': 0.02837209302325585, 'Regression-path_duration': 0.040000000000000036, 'Re-reading_duration_per_characters': 0.03302325581395353, 'Number_of_regression': 0.06000000000000005, 'Percentage_of_katakana_verb_numerator': 0.002790697674418663, 'Number_of_extra_difficulty_kanzi_words': 0.005581395348837281, 'Percentage_of_regular_difficulty_kanzi_words': 0.03023255813953494, 'Number_of_regular_difficulty_kanzi_words': 0.035348837209302375, 'Number_of_high_difficulty_kanzi_words': 0.06697674418604656, 'Percentage_of_extra_difficulty_kanzis': 0.008837209302325632, 'Number_of_extra_difficulty_kanzis': 0.005116279069767504, 'Number_of_characters_of_adnominal_modification': 0.04883720930232562, 'Number_of_adnominal_modification_out_of_total_nouns': 0.06325581395348838, 'Cossim_model6': 0.07348837209302332, 'Norm_model6': 0.045581395348837275}",2025-01-21_16-23-25,
knn,"{'Duration_of_first_fixation': 0.0018604651162790864, 'Maximum_duration_of_Visit': 0.020930232558139528, 'Number_of_saccades_in_AOI': 0.02093023255813955, 'Time_to_entry_saccade': 0.007441860465116279, 'First-pass_first_fixation_duration_per_characters': 0.004651162790697705, 'Regression-path_duration': 0.00046511627906977717, 'Re-reading_duration_per_characters': -0.0018604651162790642, 'Number_of_regression': 0.004186046511627928, 'Percentage_of_katakana_verb_numerator': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.007441860465116301, 'Number_of_regular_difficulty_kanzi_words': 0.0027906976744185965, 'Number_of_high_difficulty_kanzi_words': 0.015348837209302312, 'Percentage_of_extra_difficulty_kanzis': 0.00046511627906977717, 'Number_of_extra_difficulty_kanzis': 0.0013953488372093093, 'Number_of_characters_of_adnominal_modification': 0.008372093023255811, 'Number_of_adnominal_modification_out_of_total_nouns': 0.007441860465116279, 'Cossim_model6': 0.019069767441860487, 'Norm_model6': 0.008372093023255834}",2025-01-21_16-23-25,
mlp,"{'Duration_of_first_fixation': 0.014883720930232602, 'Maximum_duration_of_Visit': 0.058139534883720964, 'Number_of_saccades_in_AOI': 0.018604651162790708, 'Time_to_entry_saccade': 0.015813953488372112, 'First-pass_first_fixation_duration_per_characters': 0.0023255813953488636, 'Regression-path_duration': 0.008837209302325589, 'Re-reading_duration_per_characters': 0.007441860465116279, 'Number_of_regression': 0.01255813953488374, 'Percentage_of_katakana_verb_numerator': 0.00046511627906977717, 'Number_of_extra_difficulty_kanzi_words': 0.004186046511627928, 'Percentage_of_regular_difficulty_kanzi_words': 0.006976744186046524, 'Number_of_regular_difficulty_kanzi_words': 0.008837209302325611, 'Number_of_high_difficulty_kanzi_words': 0.01488372093023258, 'Percentage_of_extra_difficulty_kanzis': 0.00511627906976746, 'Number_of_extra_difficulty_kanzis': 0.0037209302325581285, 'Number_of_characters_of_adnominal_modification': 0.012093023255813962, 'Number_of_adnominal_modification_out_of_total_nouns': 0.018139534883720953, 'Cossim_model6': 0.008372093023255834, 'Norm_model6': 0.026511627906976764}",2025-01-21_16-23-25,
nb,"{'Duration_of_first_fixation': 0.0, 'Maximum_duration_of_Visit': 0.0, 'Number_of_saccades_in_AOI': 0.0, 'Time_to_entry_saccade': 0.0, 'First-pass_first_fixation_duration_per_characters': 0.0, 'Regression-path_duration': 0.0, 'Re-reading_duration_per_characters': 0.0, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0009302325581395321, 'Number_of_extra_difficulty_kanzi_words': -0.014418604651162802, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_high_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzis': -0.023255813953488393, 'Number_of_extra_difficulty_kanzis': -0.02697674418604653, 'Number_of_characters_of_adnominal_modification': 0.0, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0027906976744185965}",2025-01-21_16-23-25,
model,PFI,Date,
log,"{'Duration_of_first_fixation': 0.0027906976744186407, 'Minimum_duration_of_Visit': 0.0, 'Maximum_duration_of_Visit': 0.05023255813953496, 'Number_of_Visits_per_characters': 0.01162790697674423, 'Number_of_regression': 0.0009302325581395543, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun_numerator': 0.002790697674418663, 'Percentage_of_extra_difficulty_kanzi_words': 0.0032558139534884178, 'Percentage_of_regular_difficulty_kanzi_words': 2.2204460492503132e-17, 'Percentage_of_extra_difficulty_kanzis': 2.2204460492503132e-17, 'Number_of_extra_difficulty_kanzis': 0.008372093023255856, 'Number_of_regular_difficulty_kanzis': 0.0013953488372093537, 'Percentage_of_Chinese_words_verb': -0.003255813953488329, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.005116279069767504, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0013953488372093314, 'Cossim_model6': 0.018604651162790732, 'Norm_model6': 0.017674418604651177}",2025-01-21_16-36-11,
