Original Data shape,sfs,Models,Best number of features,Slected Features,Model Params,Model Accuravy,Accuracy,Precision,Recall,F1_Score,Date,Dataset
"(538, 53)","SequentialFeatureSelector(estimator=RandomForestClassifier(), floating=True,
                          k_features=(1, 53), n_jobs=-1, scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",19,"('Duration_of_first_fixation', 'Maximum_duration_of_Visit', 'Number_of_saccades_in_AOI', 'Time_to_entry_saccade', 'First-pass_first_fixation_duration_per_characters', 'Regression-path_duration', 'Re-reading_duration_per_characters', 'Number_of_regression', 'Percentage_of_katakana_verb_numerator', 'Number_of_extra_difficulty_kanzi_words', 'Percentage_of_regular_difficulty_kanzi_words', 'Number_of_regular_difficulty_kanzi_words', 'Number_of_high_difficulty_kanzi_words', 'Percentage_of_extra_difficulty_kanzis', 'Number_of_extra_difficulty_kanzis', 'Number_of_characters_of_adnominal_modification', 'Number_of_adnominal_modification_out_of_total_nouns', 'Cossim_model6', 'Norm_model6')","{'final_estimator__C': 1, 'final_estimator__max_iter': 76, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'lbfgs', 'gb__learning_rate': 0.03768717586862382, 'gb__max_depth': 9, 'gb__min_samples_leaf': 1, 'gb__n_estimators': 165, 'gb__subsample': 0.5817590319488719, 'knn__leaf_size': 39, 'knn__n_neighbors': 4, 'log__C': 1, 'log__max_iter': 97, 'log__penalty': 'l2', 'log__solver': 'lbfgs', 'mlp__alpha': 0.0001259502438364656, 'mlp__hidden_layer_sizes': (100,), 'mlp__max_iter': 107, 'nb__var_smoothing': 1e-09, 'rf__criterion': 'log_loss', 'rf__max_depth': 19, 'rf__min_samples_leaf': 0.5465906459873325, 'rf__min_samples_split': 2, 'rf__n_estimators': 135, 'svm__C': 23.621653311740435, 'svm__gamma': 0.1}","{'log': 0.6220318449290412, 'rf': 0.7620976116303219, 'gb': 0.6165455174800969, 'svm': 0.7564901349948079, 'knn': 0.7416407061266874, 'mlp': 0.6240221529941155, 'nb': 0.3677397023191416}",0.824074074,0.816569201,0.824074074,0.801213643,2025-01-21_16-23-25,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
"(538, 53)","SequentialFeatureSelector(cv=3, estimator=RandomForestClassifier(),
                          floating=True, k_features=(1, 53), n_jobs=-1,
                          scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",17,"('Duration_of_first_fixation', 'Minimum_duration_of_Visit', 'Maximum_duration_of_Visit', 'Number_of_Visits_per_characters', 'Number_of_regression', 'Percentage_of_katakana_verb_numerator', 'Percentage_of_katakana_noun_numerator', 'Percentage_of_extra_difficulty_kanzi_words', 'Percentage_of_regular_difficulty_kanzi_words', 'Percentage_of_extra_difficulty_kanzis', 'Number_of_extra_difficulty_kanzis', 'Number_of_regular_difficulty_kanzis', 'Percentage_of_Chinese_words_verb', 'Percentage_of_adnominal_modification_out_of_total_nouns', 'Number_of_adnominal_modification_out_of_total_nouns', 'Cossim_model6', 'Norm_model6')","{'final_estimator__C': 1, 'final_estimator__max_iter': 119, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'lbfgs', 'gb__learning_rate': 0.2901075471279624, 'gb__max_depth': 7, 'gb__min_samples_leaf': 2, 'gb__n_estimators': 100, 'gb__subsample': 0.652859139184332, 'knn__leaf_size': 13, 'knn__n_neighbors': 4, 'log__C': 2, 'log__max_iter': 111, 'log__penalty': 'l2', 'log__solver': 'sag', 'mlp__alpha': 0.0018337359529475483, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__max_iter': 236, 'nb__var_smoothing': 1e-08, 'rf__criterion': 'log_loss', 'rf__max_depth': 35, 'rf__min_samples_leaf': 0.4203968269896615, 'rf__min_samples_split': 2, 'rf__n_estimators': 73, 'svm__C': 11.213890216805234, 'svm__gamma': 'auto'}","{'log': 0.6164416753201799, 'rf': 0.7620976116303219, 'gb': 0.5961751471097265, 'svm': 0.6277777777777778, 'knn': 0.7416407061266874, 'mlp': 0.6146590515749395, 'nb': 0.3733125649013499}",0.805555556,0.800785634,0.805555556,0.767464702,2025-01-21_16-36-11,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
"(538, 53)","SequentialFeatureSelector(cv=3, estimator=GradientBoostingClassifier(),
                          floating=True, k_features=(1, 53), n_jobs=-1,
                          scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",22,"('Duration_of_first_fixation', 'Minimum_duration_of_Visit', 'Maximum_duration_of_Visit', 'Number_of_Visits_per_characters', 'Number_of_saccades_in_AOI', 'Time_to_entry_saccade', 'Time_to_exit_saccade', 'First-pass_duration', 'Re-reading_duration_per_characters', 'Number_of_regression', 'Percentage_of_katakana_verb_numerator', 'Percentage_of_extra_difficulty_kanzi_words', 'Number_of_extra_difficulty_kanzi_words', 'Percentage_of_regular_difficulty_kanzi_words', 'Number_of_regular_difficulty_kanzi_words', 'Percentage_of_extra_difficulty_kanzis', 'Number_of_extra_difficulty_kanzis', 'Percentage_of_regular_difficulty_kanzis', 'Percentage_of_Chinese_words_verb', 'Percentage_of_adnominal_modification_out_of_total_nouns', 'Norm_model6', 'Avecossim_model6')","{'final_estimator__C': 2, 'final_estimator__max_iter': 141, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'liblinear', 'gb__learning_rate': 0.2696521377681941, 'gb__max_depth': 8, 'gb__min_samples_leaf': 2, 'gb__n_estimators': 192, 'gb__subsample': 0.9907487792587845, 'knn__leaf_size': 47, 'knn__n_neighbors': 4, 'log__C': 2, 'log__max_iter': 106, 'log__penalty': 'l2', 'log__solver': 'sag', 'mlp__alpha': 0.005667628930139298, 'mlp__hidden_layer_sizes': (50,), 'mlp__max_iter': 278, 'nb__var_smoothing': 1e-09, 'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__min_samples_leaf': 0.9779940665042343, 'rf__min_samples_split': 2, 'rf__n_estimators': 68, 'svm__C': 19.960692733831976, 'svm__gamma': 0.1}","{'log': 0.6182935271720318, 'rf': 0.7620976116303219, 'gb': 0.5794219453097958, 'svm': 0.7564901349948079, 'knn': 0.7416407061266874, 'mlp': 0.6128071997230875, 'nb': 0.3677397023191416}",0.796296296,0.80355846,0.796296296,0.743709742,2025-01-21_16-54-44,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
"(538, 53)","SequentialFeatureSelector(cv=3, estimator=GradientBoostingClassifier(),
                          floating=True, forward=False, k_features=(1, 53),
                          n_jobs=-1, scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",7,"('Maximum_duration_of_Visit', 'Number_of_Visits_per_characters', 'First-pass_first_fixation_duration_per_characters', 'Number_of_extra_difficulty_kanzi_words', 'Number_of_regular_difficulty_kanzi_words', 'Number_of_extra_difficulty_kanzis', 'Percentage_of_adnominal_modification_out_of_total_nouns')","{'final_estimator__C': 2, 'final_estimator__max_iter': 138, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'sag', 'gb__learning_rate': 0.09929055235279326, 'gb__max_depth': 5, 'gb__min_samples_leaf': 1, 'gb__n_estimators': 179, 'gb__subsample': 0.5108376514802984, 'knn__leaf_size': 28, 'knn__n_neighbors': 5, 'log__C': 1, 'log__max_iter': 120, 'log__penalty': 'l2', 'log__solver': 'sag', 'mlp__alpha': 0.006867699044243033, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__max_iter': 210, 'nb__var_smoothing': 1e-09, 'rf__criterion': 'gini', 'rf__max_depth': 39, 'rf__min_samples_leaf': 0.612440925901119, 'rf__min_samples_split': 2, 'rf__n_estimators': 134, 'svm__C': 75.24745294376801, 'svm__gamma': 'scale'}","{'log': 0.6220318449290412, 'rf': 0.7620976116303219, 'gb': 0.6185012114918658, 'svm': 0.6240567670474213, 'knn': 0.7248009691934925, 'mlp': 0.6183627552786432, 'nb': 0.3677397023191416}",0.842592593,0.843079922,0.842592593,0.822138523,2025-01-21_17-08-17,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
"(538, 53)","SequentialFeatureSelector(cv=3, estimator=RandomForestClassifier(),
                          floating=True, forward=False, k_features=(1, 53),
                          n_jobs=-1, scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",6,"('Average_duration_of_Visit_per_characters', 'Maximum_duration_of_Visit', 'Number_of_Visits_per_characters', 'Peak_velocity_of_entry_saccade', 'Percentage_of_katakana_verb_numerator', 'Number_of_regular_difficulty_kanzis')","{'final_estimator__C': 2, 'final_estimator__max_iter': 141, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'liblinear', 'gb__learning_rate': 0.2696521377681941, 'gb__max_depth': 8, 'gb__min_samples_leaf': 2, 'gb__n_estimators': 192, 'gb__subsample': 0.9907487792587845, 'knn__leaf_size': 47, 'knn__n_neighbors': 4, 'log__C': 2, 'log__max_iter': 106, 'log__penalty': 'l2', 'log__solver': 'sag', 'mlp__alpha': 0.005667628930139298, 'mlp__hidden_layer_sizes': (50,), 'mlp__max_iter': 278, 'nb__var_smoothing': 1e-09, 'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__min_samples_leaf': 0.9779940665042343, 'rf__min_samples_split': 2, 'rf__n_estimators': 68, 'svm__C': 19.960692733831976, 'svm__gamma': 0.1}","{'log': 0.6182935271720318, 'rf': 0.7620976116303219, 'gb': 0.5794219453097958, 'svm': 0.7564901349948079, 'knn': 0.7416407061266874, 'mlp': 0.6128071997230875, 'nb': 0.3677397023191416}",0.824074074,0.8231629,0.824074074,0.795784611,2025-01-21_17-23-54,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
"(538, 53)","SequentialFeatureSelector(cv=3, estimator=SVC(), floating=True, forward=False,
                          k_features=(1, 53), n_jobs=-1, scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",4,"('Maximum_duration_of_Visit', 'Number_of_Visits_per_characters', 'Percentage_of_regular_difficulty_kanzi_words', 'Percentage_of_extra_difficulty_kanzis')","{'final_estimator__C': 2, 'final_estimator__max_iter': 109, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'lbfgs', 'gb__learning_rate': 0.03308596048876274, 'gb__max_depth': 7, 'gb__min_samples_leaf': 3, 'gb__n_estimators': 119, 'gb__subsample': 0.9410321617481616, 'knn__leaf_size': 32, 'knn__n_neighbors': 5, 'log__C': 1, 'log__max_iter': 64, 'log__penalty': 'l2', 'log__solver': 'lbfgs', 'mlp__alpha': 0.0054840149038078755, 'mlp__hidden_layer_sizes': (50,), 'mlp__max_iter': 252, 'nb__var_smoothing': 1e-09, 'rf__criterion': 'entropy', 'rf__max_depth': 37, 'rf__min_samples_leaf': 0.8959777482361871, 'rf__min_samples_split': 2, 'rf__n_estimators': 115, 'svm__C': 2.450078155653802, 'svm__gamma': 'auto'}","{'log': 0.6220318449290412, 'rf': 0.7620976116303219, 'gb': 0.5922983731394946, 'svm': 0.6408965039806162, 'knn': 0.7248009691934925, 'mlp': 0.6091208030460367, 'nb': 0.3677397023191416}",0.833333333,0.833333333,0.833333333,0.809185886,2025-01-21_17-33-34,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
"(538, 53)","SequentialFeatureSelector(estimator=GradientBoostingClassifier(), floating=True,
                          forward=False, k_features=(1, 53), n_jobs=-1,
                          scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",12,"('Minimum_duration_of_fixations', 'Duration_of_first_fixation', 'Maximum_duration_of_Visit', 'Number_of_Visits_per_characters', 'Time_to_entry_saccade', 'Peak_velocity_of_exit_saccade', 'Percentage_of_katakana_verb_numerator', 'Number_of_extra_difficulty_kanzi_words', 'Number_of_high_difficulty_kanzi_words', 'Percentage_of_regular_difficulty_kanzis', 'Cossim_model6', 'Norm_model6')","{'final_estimator__C': 2, 'final_estimator__max_iter': 138, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'sag', 'gb__learning_rate': 0.09929055235279326, 'gb__max_depth': 5, 'gb__min_samples_leaf': 1, 'gb__n_estimators': 179, 'gb__subsample': 0.5108376514802984, 'knn__leaf_size': 28, 'knn__n_neighbors': 5, 'log__C': 1, 'log__max_iter': 120, 'log__penalty': 'l2', 'log__solver': 'sag', 'mlp__alpha': 0.006867699044243033, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__max_iter': 210, 'nb__var_smoothing': 1e-09, 'rf__criterion': 'gini', 'rf__max_depth': 39, 'rf__min_samples_leaf': 0.612440925901119, 'rf__min_samples_split': 2, 'rf__n_estimators': 134, 'svm__C': 75.24745294376801, 'svm__gamma': 'scale'}","{'log': 0.6220318449290412, 'rf': 0.7620976116303219, 'gb': 0.6185012114918658, 'svm': 0.6240567670474213, 'knn': 0.7248009691934925, 'mlp': 0.6183627552786432, 'nb': 0.3677397023191416}",0.824074074,0.8231629,0.824074074,0.795784611,2025-01-21_17-59-59,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
"(538, 53)","SequentialFeatureSelector(estimator=GradientBoostingClassifier(), floating=True,
                          forward=False, k_features=(1, 53), n_jobs=-1,
                          scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",12,"('Minimum_duration_of_fixations', 'Duration_of_first_fixation', 'Maximum_duration_of_Visit', 'Number_of_Visits_per_characters', 'Time_to_entry_saccade', 'Peak_velocity_of_exit_saccade', 'Percentage_of_katakana_verb_numerator', 'Number_of_extra_difficulty_kanzi_words', 'Number_of_high_difficulty_kanzi_words', 'Percentage_of_regular_difficulty_kanzis', 'Cossim_model6', 'Norm_model6')","{'final_estimator__C': 2, 'final_estimator__max_iter': 138, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'sag', 'gb__learning_rate': 0.09929055235279326, 'gb__max_depth': 5, 'gb__min_samples_leaf': 1, 'gb__n_estimators': 179, 'gb__subsample': 0.5108376514802984, 'knn__leaf_size': 28, 'knn__n_neighbors': 5, 'log__C': 1, 'log__max_iter': 120, 'log__penalty': 'l2', 'log__solver': 'sag', 'mlp__alpha': 0.006867699044243033, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__max_iter': 210, 'nb__var_smoothing': 1e-09, 'rf__criterion': 'gini', 'rf__max_depth': 39, 'rf__min_samples_leaf': 0.612440925901119, 'rf__min_samples_split': 2, 'rf__n_estimators': 134, 'svm__C': 75.24745294376801, 'svm__gamma': 'scale'}","{'log': 0.6220318449290412, 'rf': 0.7620976116303219, 'gb': 0.6185012114918658, 'svm': 0.6240567670474213, 'knn': 0.7248009691934925, 'mlp': 0.6183627552786432, 'nb': 0.3677397023191416}",0.824074074,0.8231629,0.824074074,0.795784611,2025-01-21_18-00-26,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
"(538, 53)","SequentialFeatureSelector(estimator=GradientBoostingClassifier(), floating=True,
                          k_features=(1, 53), n_jobs=-1, scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",12,"('Maximum_duration_of_fixations', 'Duration_of_first_fixation', 'Number_of_Visits_per_characters', 'Number_of_saccades_in_AOI', 'Time_to_entry_saccade', 'Re-reading_duration_per_characters', 'Percentage_of_low_difficulty_kanzi_words', 'Number_of_low_difficulty_kanzi_words', 'Percentage_of_regular_difficulty_kanzi_words', 'Number_of_high_difficulty_kanzi_words', 'Percentage_of_regular_difficulty_kanzis', 'Number_of_adnominal_modification_out_of_total_nouns')","{'final_estimator__C': 2, 'final_estimator__max_iter': 76, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'lbfgs', 'gb__learning_rate': 0.17795329369264884, 'gb__max_depth': 9, 'gb__min_samples_leaf': 2, 'gb__n_estimators': 139, 'gb__subsample': 0.509072404652725, 'knn__leaf_size': 44, 'knn__n_neighbors': 4, 'log__C': 2, 'log__max_iter': 120, 'log__penalty': 'l2', 'log__solver': 'sag', 'mlp__alpha': 0.0044224078389251235, 'mlp__hidden_layer_sizes': (50,), 'mlp__max_iter': 162, 'nb__var_smoothing': 1e-08, 'rf__criterion': 'entropy', 'rf__max_depth': 41, 'rf__min_samples_leaf': 0.11250972799067925, 'rf__min_samples_split': 2, 'rf__n_estimators': 69, 'svm__C': 68.79857223008133, 'svm__gamma': 'auto'}","{'log': 0.6164416753201799, 'rf': 0.7620976116303219, 'gb': 0.6054863274489443, 'svm': 0.6240567670474213, 'knn': 0.7416407061266874, 'mlp': 0.6221703011422637, 'nb': 0.3733125649013499}",0.796296296,0.787962963,0.796296296,0.752447988,2025-01-21_18-43-50,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
"(538, 53)","SequentialFeatureSelector(estimator=GradientBoostingClassifier(), floating=True,
                          forward=False, k_features=(1, 53), n_jobs=-1,
                          scoring='accuracy')","['log', 'rf', 'gb', 'svm', 'knn', 'mlp', 'nb']",6,"('Maximum_duration_of_Visit', 'Number_of_Visits_per_characters', 'Time_to_entry_saccade', 'Percentage_of_extra_difficulty_kanzi_words', 'Percentage_of_regular_difficulty_kanzi_words', 'Percentage_of_adnominal_modification_out_of_total_nouns')","{'final_estimator__C': 2, 'final_estimator__max_iter': 109, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'lbfgs', 'gb__learning_rate': 0.03308596048876274, 'gb__max_depth': 7, 'gb__min_samples_leaf': 3, 'gb__n_estimators': 119, 'gb__subsample': 0.9410321617481616, 'knn__leaf_size': 32, 'knn__n_neighbors': 5, 'log__C': 1, 'log__max_iter': 64, 'log__penalty': 'l2', 'log__solver': 'lbfgs', 'mlp__alpha': 0.0054840149038078755, 'mlp__hidden_layer_sizes': (50,), 'mlp__max_iter': 252, 'nb__var_smoothing': 1e-09, 'rf__criterion': 'entropy', 'rf__max_depth': 37, 'rf__min_samples_leaf': 0.8959777482361871, 'rf__min_samples_split': 2, 'rf__n_estimators': 115, 'svm__C': 2.450078155653802, 'svm__gamma': 'auto'}","{'log': 0.6220318449290412, 'rf': 0.7620976116303219, 'gb': 0.5922983731394946, 'svm': 0.6408965039806162, 'knn': 0.7248009691934925, 'mlp': 0.6091208030460367, 'nb': 0.3677397023191416}",0.833333333,0.827254306,0.833333333,0.814015152,2025-01-21_19-11-48,C:/Users/thisi/OneDrive/共有ファイル/リモートデスクトッチEvif_result.csv
