文章,主観難易度,興味度,読者の語彙量,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration,Number_of_regression,カタカナ語使用率（動詞のみ）,カタカナ語使用率（動詞のみ）（分子）,カタカナ語使用率（名詞のみ）,カタカナ語使用率（名詞のみ）（分子）,初級語彙の数,初級語彙の比率（％）,延べ語数,文の長さの平均（文字数）,文の長さの平均（語数）,漢字使用率,漢字使用率（分子）,漢字語彙難易度（低）,漢字語彙難易度（低）（分子）,漢字語彙難易度（外）,漢字語彙難易度（外）（分子）,漢字語彙難易度（常）,漢字語彙難易度（常）（分子）,漢字語彙難易度（高）,漢字語彙難易度（高）（分子）,漢字難易度（低）,漢字難易度（低）（分子）,漢字難易度（外）,漢字難易度（外）（分子）,漢字難易度（常）,漢字難易度（常）（分子）,漢字難易度（高）,漢字難易度（高）（分子）,漢語使用率（動詞のみ）,漢語使用率（動詞のみ）（分子）,漢語使用率（名詞のみ）,漢語使用率（名詞のみ）（分子）,漢語使用率（名詞＋動詞）,漢語使用率（名詞＋動詞）（分子）,総名詞数,総文字数,複合名詞句の長さの平均,連体修飾句の長さ（文字数）,連体修飾句の長さ（語数）,連体修飾率,連体修飾率（分子）,高頻度語使用率（延べ語）,高頻度語使用率（延べ語）（分子）,Cossim_model1,Cossim_model2,Cossim_model3,Cossim_model4,Cossim_model5,Cossim_model6,Norm_model1,Norm_model2,Norm_model3,Norm_model4,Norm_model5,Norm_model6,Avecossim_model1,Avecossim_model2,Avecossim_model3,Avecossim_model4,Avecossim_model5,Avecossim_model6
6,8.782,60.321,67528,3550,237.0,98.0,752.0,15,476.0,141.0,2.38586,3550,237.0,98.0,752.0,15,476.0,141.0,2.38586,3976,3976.0,3976.0,3976.0,1,476.0,3976.0,13,442.0,4452.0,94.51,414.15,1,0.0,0.0,0.0,1.0045418750990056,3550.0,0.0,0.0,0,0.0,0,0.15,2,19,48.72,42,75.0,42.0,0.36,27,0.17,2,0.0,0,0.0,0,0.75,9,0.33,9,0.0,0,0.04,1,0.63,17,0.12,1,0.85,11,0.57,12,13,75,5.5,36,19,0.4,4,0.86,36,0.651850308,0.912126854,0.937527734,0.945815358,0.924429527,0.92024322,18.342686,11.770347,13.72349,7.4611325,13.485402,10.240809,0.7742342,0.9540962,0.9694722,0.9649152,0.95932925,0.94203365
6,56.09,60.321,67528,9582,252.0,118.0,435.0,38,308.0,133.0,2.62436,9582,252.0,118.0,435.0,38,308.0,133.0,2.62436,10492,5246.0,133.0,10359.0,2,308.0,133.0,34,276.0,442.0,159.7,94.51,1,0.0,0.0,0.0,0.9985253909958954,9582.0,0.0,0.0,0,0.0,0,0.0,0,10,62.5,17,29.0,17.0,0.52,15,0.5,4,0.0,0,0.0,0,0.38,3,0.6,9,0.0,0,0.0,0,0.4,6,1.0,1,0.88,7,0.89,8,8,29,5.0,16,9,0.2,1,0.65,11,0.65027493,0.91158456,0.94286096,0.94461995,0.9387811,0.9101032,16.353601,11.421861,13.043892,6.9931026,13.139618,9.782328,0.8175811,0.9678948,0.97646505,0.98186964,0.9742615,0.9722664
6,9.808,60.321,67528,6521,284.0,69.0,747.0,23,14930.0,251.0,2.6315,6242,284.0,69.0,747.0,22,14930.0,251.0,2.63098,6909,2303.0,278.0,5619.0,3,14930.0,1012.0,20,14872.0,15942.0,378.21,87.91,1,0.0,0.0,0.0,0.9975887711137925,6521.0,0.0,0.0,0,0.0,0,0.0,0,16,61.54,26,44.0,26.0,0.45,20,0.18,2,0.0,0,0.0,0,0.73,8,0.45,9,0.0,0,0.0,0,0.55,11,1.0,1,0.83,10,0.85,11,12,44,6.0,33,20,0.2,2,0.73,19,0.59616095,0.92424047,0.9416264,0.9449289,0.93452483,0.9277337,17.826412,11.620338,13.481673,7.1106353,14.535499,10.448414,0.7550838,0.9406146,0.96087754,0.96402514,0.95984966,0.95623356
6,9.679,60.321,67528,10038,257.0,72.0,745.0,39,0.0,276.0,2.60016,9762,257.0,72.0,745.0,38,21818.0,167.0,2.59786,10909,2727.0,276.0,9559.0,4,0.0,276.0,35,21761.0,276.0,415.49,159.7,1,276.0,276.0,9038.0,1.0,10038.0,28412.0,28136.0,3,0.0,0,0.06,1,26,63.41,38,80.0,38.0,0.28,22,0.31,4,0.0,0,0.0,0,0.54,7,0.5,11,0.0,0,0.0,0,0.5,11,0.67,2,0.69,11,0.68,13,16,80,5.33,74,34,0.08,1,0.76,29,0.3834704,0.8800323,0.9068005,0.9264557,0.9027484,0.8906674,16.239756,11.456024,13.071932,7.1223235,14.246996,10.359212,0.68908423,0.94272983,0.9528799,0.9693206,0.9375972,0.93783665
6,7.756,60.321,67528,9492,226.0,91.0,494.0,42,31440.0,150.0,2.71278,9492,226.0,91.0,494.0,42,31440.0,150.0,2.71278,10714,3571.0,530.0,5522.0,3,31440.0,530.0,37,31377.0,31970.0,420.51,306.04,1,150.0,513.0,5467.0,1.0,9492.0,6112.0,5599.0,5,0.0,0,0.0,0,19,54.29,36,63.0,36.0,0.41,26,0.13,2,0.0,0,0.13,2,0.6,9,0.38,10,0.0,0,0.12,3,0.5,13,0.33,2,0.87,13,0.71,15,15,63,5.0,45,24,0.08,1,0.69,25,0.62109566,0.89528435,0.9235127,0.9475013,0.91469127,0.9094912,17.06631,11.811282,13.405187,7.1785707,13.355009,10.09178,0.8756892,0.941472,0.964115,0.9781266,0.960343,0.9630471
6,3.654,60.321,67528,4777,239.0,143.0,654.0,20,38375.0,165.0,2.74326,4777,239.0,143.0,654.0,20,38375.0,165.0,2.74326,5222,2611.0,639.0,4583.0,2,38375.0,639.0,17,38339.0,39014.0,240.36,284.23,1,165.0,606.0,4777.0,1.0,4777.0,9434.0,8828.0,3,0.0,0,0.0,0,20,51.28,41,68.0,41.0,0.59,40,0.3,6,0.0,0,0.05,1,0.55,11,0.6,24,0.0,0,0.03,1,0.38,15,0.67,2,1.0,18,0.95,20,18,68,4.6,15,7,0.27,3,0.76,31,0.74467397,0.89887774,0.9324525,0.9530128,0.9057417,0.90769744,17.18678,11.445565,13.535172,7.275355,13.790624,10.791124,0.79697907,0.9613753,0.97319806,0.9768654,0.96494704,0.9574803
6,2.5,60.321,67528,7403,247.0,80.0,553.0,30,189.0,80.0,2.59242,7403,247.0,80.0,553.0,30,189.0,80.0,2.59242,8011,8011.0,8011.0,8011.0,1,189.0,8011.0,29,150.0,8200.0,241.76,403.76,1,0.0,0.0,0.0,0.9977676253905785,7403.0,0.0,0.0,0,0.0,0,0.0,0,20,62.5,32,50.0,32.0,0.32,16,0.22,2,0.0,0,0.0,0,0.67,6,0.38,6,0.0,0,0.12,2,0.5,8,0.11,1,0.8,8,0.47,9,10,50,5.0,35,22,0.38,3,0.81,26,0.7672756,0.9434132,0.9584006,0.9672242,0.947678,0.9454443,16.202599,11.3494005,13.059078,7.016634,12.850301,10.136308,0.78638756,0.9696024,0.9731804,0.9749786,0.95332235,0.96541524
6,4.679,60.321,67528,4247,327.0,138.0,747.0,13,8254.0,138.0,2.55285,4247,327.0,138.0,747.0,13,8254.0,138.0,2.55285,4500,4500.0,4500.0,4500.0,1,8254.0,4500.0,12,8200.0,12754.0,403.76,362.77,1,0.0,0.0,0.0,1.00131531984449,4247.0,0.0,0.0,0,0.0,0,0.0,0,36,57.14,68,116.0,68.0,0.45,52,0.19,6,0.0,0,0.1,3,0.58,18,0.48,25,0.0,0,0.06,3,0.46,24,0.5,4,0.84,27,0.78,31,32,116,5.4,72,42,0.2,4,0.74,50,0.6926785,0.9173244,0.9438426,0.945348,0.93275476,0.93057156,17.452486,11.65402,13.63205,7.300231,13.659203,10.076402,0.86452377,0.951394,0.9744141,0.974824,0.97079974,0.96628994
6,20.321,60.321,67528,5287,240.0,124.0,787.0,22,0.0,150.0,2.51926,5137,245.0,124.0,787.0,21,12816.0,124.0,2.51556,5733,2867.0,150.0,5583.0,2,0.0,150.0,20,12754.0,150.0,362.77,241.76,1,150.0,150.0,5287.0,1.0,5287.0,16937.0,16787.0,3,0.0,0,0.08,1,26,76.47,33,56.0,33.0,0.32,18,0.09,1,0.0,0,0.27,3,0.36,4,0.5,9,0.0,0,0.17,3,0.33,6,0.6,3,0.67,8,0.65,11,12,56,4.0,36,20,0.18,2,0.79,26,0.5872425,0.9019307,0.9198068,0.91962224,0.9134955,0.9054553,17.012074,11.462567,12.969495,6.9366264,12.24426,9.858679,0.6051187,0.94214106,0.9510953,0.95352143,0.9377936,0.9343981
6,5.064,60.321,67528,4986,356.0,145.0,1227.0,14,18451.0,145.0,2.53378,4986,356.0,145.0,1227.0,14,18451.0,145.0,2.53378,5213,2607.0,1140.0,4073.0,2,18451.0,1140.0,12,18399.0,23942.0,377.04,258.6,1,145.0,4986.0,4986.0,0.0,4986.0,4986.0,0.0,1,0.0,0,0.15,2,23,69.7,31,63.0,31.0,0.21,13,0.14,1,0.0,0,0.14,1,0.57,4,0.38,5,0.0,0,0.08,1,0.54,7,0.33,1,0.46,6,0.44,7,13,63,5.0,40,18,0.33,3,0.74,23,0.32492983,0.8666374,0.8788374,0.87852246,0.8679157,0.8680727,18.854082,12.058113,14.082893,7.6805873,14.173804,10.150735,0.74147224,0.94839495,0.961248,0.95975465,0.9636103,0.9576773
