Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,Kaidhil,Version1,TOI_Text1,1,文章43_1,,SV_Text_画面1,男らしさに疑問をもつ必要があること、ジェンダーの不平等はすべての人にとって大きな課題であること、その不平等がなくなれば世界が良くなること、この本を手に取る人がこうしたことに気づいていてくれたら嬉しい。,,Tag1,101567,466533,,5121,284.0,73.0,772.0,18,396.0,97.0,"男性性について調べ、考えることは、豊かで平和で教育が行き届いた社会の余暇という、贅沢な案件に思えるかもしれない。,と",,2.74451,5121,284.0,73.0,772.0,18,396.0,97.0,2.74451,5325,1065.0,130.0,2942.0,5,396.0,217.0,5502,1100.0,146.0,2952.0,5,322.0,292.0,0,,,0,,,12,322.0,614.0,252.42,63.37,,,1,男らしさに疑問をもつ必要があること、ジェンダーの不平等はすべての人にとって大きな課題であること、その不平等がなくなれば世界が良くなること、この本を手に取る人がこうしたことに気づいていてくれたら嬉しい。,Sentence,2.0,0.0,0.0,0.0,,5121.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章43_1,,SV_Text_画面1,本書によって、多くの読者が男性性への意識を、つまり変化のきっかけになる意識をもつようになることを願っている。,,Tag2,101567,466533,,4442,296.0,152.0,817.0,15,22965.0,172.0,"男性性について調べ、考えることは、豊かで平和で教育が行き届いた社会の余暇という、贅沢な案件に思えるかもしれない。,と",,2.85389,4442,296.0,152.0,817.0,15,22965.0,172.0,2.85389,4550,569.0,172.0,1191.0,8,22965.0,172.0,4687,586.0,180.0,1212.0,8,22957.0,180.0,0,,,0,,,7,22957.0,23137.0,34.95,155.16,,,2,本書によって、多くの読者が男性性への意識を、つまり変化のきっかけになる意識をもつようになることを願っている。,Sentence,1.0,0.0,0.0,0.0,,4442.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章43_1,,SV_Text_画面1,なぜなら、男性性はさまざまなかたちで実に破壊的になるからだ。,,Tag3,101567,466533,,16967,308.0,64.0,912.0,55,0.0,322.0,"男性性について調べ、考えることは、豊かで平和で教育が行き届いた社会の余暇という、贅沢な案件に思えるかもしれない。,と",,2.88566,16645,308.0,64.0,912.0,54,25064.0,249.0,2.89107,18227,1823.0,218.0,7417.0,10,0.0,322.0,18484,1848.0,239.0,7477.0,10,0.0,322.0,0,,,0,,,39,25054.0,322.0,35.1,252.42,,,3,なぜなら、男性性はさまざまなかたちで実に破壊的になるからだ。,Sentence,1.0,322.0,322.0,14983.0,1.0,16967.0,24546.0,24224.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章43_1,,SV_Text_画面1,この本が、あなたが初めて買ったジェンダー関連の本だとしたら、とても嬉しい。,,Tag4,101567,466533,,9057,348.0,112.0,1177.0,26,46629.0,132.0,"男性性について調べ、考えることは、豊かで平和で教育が行き届いた社会の余暇という、贅沢な案件に思えるかもしれない。,と",,2.79522,9057,348.0,112.0,1177.0,26,46629.0,132.0,2.79522,9519,4760.0,132.0,9387.0,2,46629.0,132.0,9587,4794.0,144.0,9443.0,2,46616.0,144.0,0,,,0,,,22,46616.0,46760.0,45.61,66.0,,,4,この本が、あなたが初めて買ったジェンダー関連の本だとしたら、とても嬉しい。,Sentence,1.0,132.0,132.0,9057.0,1.0,9057.0,11042.0,10910.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章43_1,,SV_Text_画面1,山道でマウンテンバイクに乗る男の子が冷たい父親に向かって泣き叫ぶことがないように、そして世界全体を良い場所にするために、私たちは男性性のことを調べ、考えなくてはいけないのである。,,Tag5,101567,466533,,11337,420.0,84.0,1032.0,27,58358.0,131.0,"男性性について調べ、考えることは、豊かで平和で教育が行き届いた社会の余暇という、贅沢な案件に思えるかもしれない。,と",,2.82177,11337,420.0,84.0,1032.0,27,58358.0,131.0,2.82177,11874,5937.0,131.0,11743.0,2,58358.0,131.0,11982,5991.0,224.0,11758.0,2,58264.0,224.0,0,,,0,,,21,58264.0,58489.0,261.97,59.46,,,5,山道でマウンテンバイクに乗る男の子が冷たい父親に向かって泣き叫ぶことがないように、そして世界全体を良い場所にするために、私たちは男性性のことを調べ、考えなくてはいけないのである。,Sentence,1.0,131.0,11337.0,11337.0,0.0,11337.0,11337.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章43_1,,SV_Text_画面1,男性性について調べ、考えることは、豊かで平和で教育が行き届いた社会の余暇という、贅沢な案件に思えるかもしれない。,,Tag6,101567,466533,,14809,290.0,61.0,1346.0,51,74318.0,1067.0,"男性性について調べ、考えることは、豊かで平和で教育が行き届いた社会の余暇という、贅沢な案件に思えるかもしれない。,と",,2.92841,14809,290.0,61.0,1346.0,51,74318.0,1067.0,2.92841,17080,2847.0,436.0,7157.0,6,74318.0,1583.0,17257,2876.0,465.0,7245.0,6,74303.0,1598.0,0,,,0,,,33,74303.0,75902.0,63.77,49.68,,,6,男性性について調べ、考えることは、豊かで平和で教育が行き届いた社会の余暇という、贅沢な案件に思えるかもしれない。,Sentence,1.0,1067.0,14809.0,14809.0,,14809.0,14809.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章43_2,,SV_Text_画面2,しかし私としては、むしろ正反対ですよと声を大にして言いたい。,,Tag7,61357,568100,,0,,,,0,,,"思いやりの心さえある。,い",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,1,しかし私としては、むしろ正反対ですよと声を大にして言いたい。,Sentence,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章43_2,,SV_Text_画面2,社会が貧しく発展途上で教育が不十分であるほど、男性性を現代にふさわしい姿に変えなくてはいけない。,,Tag8,61357,568100,,12181,580.0,97.0,1796.0,21,456.0,188.0,"思いやりの心さえある。,い",,2.88573,12181,580.0,97.0,1796.0,21,456.0,188.0,2.88573,12433,4144.0,516.0,10577.0,3,456.0,10577.0,12463,4154.0,525.0,10587.0,3,446.0,10587.0,0,,,0,,,16,17903.0,11034.0,50.11,334.16,,,2,社会が貧しく発展途上で教育が不十分であるほど、男性性を現代にふさわしい姿に変えなくてはいけない。,Sentence,1.0,0.0,0.0,0.0,,12181.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章43_2,,SV_Text_画面2,というのも、そのような社会の男性性は、社会を昔からある状態にしておこうとするからだ。,,Tag9,61357,568100,,13717,653.0,148.0,2742.0,21,11581.0,2742.0,"思いやりの心さえある。,い",,2.76298,13717,653.0,148.0,2742.0,21,11581.0,2742.0,2.76298,13917,2783.0,148.0,6322.0,5,11581.0,6322.0,14035,2807.0,204.0,6334.0,5,11569.0,6334.0,0,,,0,,,16,11569.0,17903.0,55.14,50.11,,,3,というのも、そのような社会の男性性は、社会を昔からある状態にしておこうとするからだ。,Sentence,1.0,0.0,0.0,0.0,,13717.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章43_2,,SV_Text_画面2,世界中で男性が犯罪を起こし、戦争を始め、女性を押しやり、経済を壊滅的に破壊している。,,Tag10,61357,568100,,5996,333.0,159.0,621.0,18,23402.0,223.0,"思いやりの心さえある。,い",,2.78575,5996,333.0,159.0,621.0,18,23402.0,223.0,2.78575,6132,1022.0,222.0,2555.0,6,23402.0,1587.0,6243,1041.0,244.0,2568.0,6,23363.0,1626.0,0,,,0,,,12,23363.0,24989.0,192.64,53.34,,,4,世界中で男性が犯罪を起こし、戦争を始め、女性を押しやり、経済を壊滅的に破壊している。,Sentence,1.0,0.0,0.0,0.0,,5996.0,0.0,0.0
