Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,Kaidhil,Version1,TOI_Text1,1,文章42_1,,SV_Text_画面1,日本では、一神教と多神教とが対立するものと考えられている。,,,83884,488598,,10428,521.0,140.0,1945.0,20,282.0,143.0,"さらに、そこには「砂漠の宗教」と「森の宗教」の対立といった風土論が重ね合わされる。,わ",,2.61664,10428,521.0,140.0,1945.0,20,282.0,143.0,2.61664,10910,3637.0,247.0,8107.0,3,282.0,8107.0,11017,3672.0,267.0,8151.0,3,238.0,8151.0,0,,,0,,,16,238.0,8389.0,207.6,289.65,,,1,日本では、一神教と多神教とが対立するものと考えられている。,Sentence,1.0,0.0,0.0,0.0,,10428.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章42_1,,SV_Text_画面1,一神教ではもっぱら一つの神だけが信仰の対象になるために、他の神々が排除され排他的な傾向が生まれる。,,,83884,488598,,18118,533.0,85.0,1367.0,34,8433.0,188.0,"さらに、そこには「砂漠の宗教」と「森の宗教」の対立といった風土論が重ね合わされる。,わ",,2.60532,18118,533.0,85.0,1367.0,34,8433.0,188.0,2.60532,18462,2637.0,292.0,10012.0,7,8433.0,292.0,18606,2658.0,336.0,10026.0,7,8389.0,336.0,0,,,0,,,26,8389.0,8725.0,289.65,336.55,,,2,一神教ではもっぱら一つの神だけが信仰の対象になるために、他の神々が排除され排他的な傾向が生まれる。,Sentence,1.0,0.0,0.0,0.0,,18118.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章42_1,,SV_Text_画面1,それに対して、多神教では多様な神々が信仰の対象となり、そこに優劣がつけられないために、異なる信仰に対しても寛容である。,,,83884,488598,,12411,477.0,103.0,1668.0,26,0.0,238.0,"さらに、そこには「砂漠の宗教」と「森の宗教」の対立といった風土論が重ね合わされる。,わ",,2.48986,12173,487.0,103.0,1668.0,25,31577.0,1304.0,2.49318,12686,2114.0,103.0,4763.0,6,0.0,238.0,12814,2136.0,163.0,4780.0,6,0.0,238.0,0,,,0,,,20,31567.0,238.0,54.17,207.6,,,3,それに対して、多神教では多様な神々が信仰の対象となり、そこに優劣がつけられないために、異なる信仰に対しても寛容である。,Sentence,1.0,238.0,238.0,6006.0,1.0,12411.0,34553.0,34315.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章42_1,,SV_Text_画面1,そのような理解のもとに、一神教が批判の対象にされることが多い。,,,83884,488598,,12626,665.0,174.0,3605.0,19,40574.0,283.0,"さらに、そこには「砂漠の宗教」と「森の宗教」の対立といった風土論が重ね合わされる。,わ",,2.49667,12626,665.0,174.0,3605.0,19,40574.0,283.0,2.49667,12837,4279.0,192.0,11928.0,3,40574.0,717.0,12901,4300.0,215.0,11946.0,3,40550.0,740.0,0,,,0,,,16,40550.0,41290.0,76.2,60.06,,,4,そのような理解のもとに、一神教が批判の対象にされることが多い。,Sentence,1.0,283.0,700.0,12626.0,1.0,12626.0,7297.0,6597.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章42_1,,SV_Text_画面1,さらに、そこには「砂漠の宗教」と「森の宗教」の対立といった風土論が重ね合わされる。,,,83884,488598,,9797,426.0,130.0,1139.0,23,48313.0,322.0,"さらに、そこには「砂漠の宗教」と「森の宗教」の対立といった風土論が重ね合わされる。,わ",,2.5589,9797,426.0,130.0,1139.0,23,48313.0,322.0,2.5589,10035,3345.0,306.0,9407.0,3,48313.0,322.0,10128,3376.0,321.0,9427.0,3,48255.0,380.0,0,,,0,,,20,48255.0,48635.0,307.63,61.25,,,5,さらに、そこには「砂漠の宗教」と「森の宗教」の対立といった風土論が重ね合わされる。,Sentence,1.0,322.0,322.0,627.0,1.0,9797.0,12056.0,11734.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章42_1,,SV_Text_画面1,一神教は自然環境が厳しい砂漠で生まれたために信仰に対して厳しく、豊かな自然に恵まれた森のなかで育まれた多神教とは性格が異なるというわけである。,,,83884,488598,,2120,424.0,125.0,935.0,5,61199.0,125.0,"さらに、そこには「砂漠の宗教」と「森の宗教」の対立といった風土論が重ね合わされる。,わ",,2.59804,2120,424.0,125.0,935.0,5,61199.0,125.0,2.59804,2259,1130.0,935.0,1324.0,2,61199.0,1324.0,2342,1171.0,943.0,1398.0,2,61125.0,1398.0,0,,,0,,,2,61125.0,67532.0,392.03,51.82,,,6,一神教は自然環境が厳しい砂漠で生まれたために信仰に対して厳しく、豊かな自然に恵まれた森のなかで育まれた多神教とは性格が異なるというわけである。,Sentence,1.0,125.0,1185.0,2120.0,1.0,2120.0,11595.0,10410.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章42_2,,SV_Text_画面2,こうした一神教と多神数との対比には、八百万の神を信仰する点でまさに多神数に分類される日本の宗教を、その寛容性において高く評価しようとする価値判断が強く働いている。,,,84168,572482,,21550,567.0,66.0,2282.0,38,219.0,82.0,"砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,ま","砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,ま",2.60977,21550,567.0,66.0,2282.0,38,219.0,82.0,2.60977,22317,11159.0,967.0,21350.0,2,219.0,21350.0,22424,11212.0,992.0,21432.0,2,138.0,21432.0,0,,,0,,,33,138.0,21569.0,434.21,65.19,,,1,こうした一神教と多神数との対比には、八百万の神を信仰する点でまさに多神数に分類される日本の宗教を、その寛容性において高く評価しようとする価値判断が強く働いている。,Sentence,1.0,82.0,21550.0,21550.0,0.0,21550.0,21550.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章42_2,,SV_Text_画面2,しかし、この対立、対比が果たして有効で適切なものなのかどうか、そもそも事実にもとづくものなのかどうかは再検討の余地がある。,,,84168,572482,,16497,446.0,124.0,1750.0,37,22844.0,327.0,"砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,ま","砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,ま",2.56528,16497,446.0,124.0,1750.0,37,22844.0,327.0,2.56528,16975,5658.0,287.0,15154.0,3,22844.0,15154.0,17034,5678.0,302.0,15181.0,3,22817.0,15181.0,0,,,0,,,30,51433.0,37998.0,47.02,378.88,,,2,しかし、この対立、対比が果たして有効で適切なものなのかどうか、そもそも事実にもとづくものなのかどうかは再検討の余地がある。,Sentence,1.0,327.0,14722.0,14722.0,0.0,16497.0,14722.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章42_2,,SV_Text_画面2,砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,,,84168,572482,,23914,543.0,119.0,2469.0,44,38086.0,141.0,"砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,ま","砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,ま",2.57629,23718,552.0,119.0,2469.0,43,38086.0,141.0,2.57552,24730,4122.0,432.0,13347.0,6,38086.0,13347.0,24986,4164.0,489.0,13435.0,6,37998.0,13435.0,0,,,0,,,35,37998.0,51433.0,378.88,47.02,,,3,砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,Sentence,2.0,141.0,12764.0,23496.0,1.0,23914.0,25272.0,12507.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章42_2,,SV_Text_画面2,また、一神教のなかに多神教的な側面を見出すこともできる。,,,84168,572482,,6346,397.0,206.0,918.0,16,74570.0,521.0,"砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,ま","砂漠の一神教の典型とされるのはイスラム教だが、それは砂漠のなかのオアシスにある都市に生まれた宗教であって、単純に砂漠の宗教とは言えず、むしろ「商売人の宗教」としてとらえるべきだという見解もある。,ま",2.52873,6346,397.0,206.0,918.0,16,74570.0,521.0,2.52873,6770,6770.0,6770.0,6770.0,1,74570.0,6770.0,6789,6789.0,6789.0,6789.0,1,74551.0,6789.0,0,,,0,,,13,74551.0,81340.0,56.58,45.7,,,4,また、一神教のなかに多神教的な側面を見出すこともできる。,Sentence,1.0,0.0,0.0,0.0,,6346.0,0.0,0.0
