Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,Kaidhil,Version1,TOI_Text1,1,文章46_1,,SV_Text_画面1,このクイズは、さまざまな国の、さまざまな分野で活躍する人々に実施してきた。,,Tag1,65286,509947,,7467,415.0,78.0,1282.0,18,421.0,889.0,"医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者","医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者",2.43492,7467,415.0,78.0,1282.0,18,421.0,889.0,2.43492,7662,2554.0,433.0,6207.0,3,421.0,6207.0,7797,2599.0,474.0,6254.0,3,373.0,6254.0,0,,,0,,,14,373.0,8943.0,230.42,230.13,,,1,このクイズは、さまざまな国の、さまざまな分野で活躍する人々に実施してきた。,Sentence,1.0,0.0,0.0,0.0,,7467.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章46_1,,SV_Text_画面1,医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,,Tag2,65286,509947,,25144,680.0,112.0,1961.0,37,6904.0,971.0,"医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者","医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者",2.41314,25029,695.0,112.0,1961.0,36,6904.0,971.0,2.41101,25592,6398.0,115.0,24164.0,4,6904.0,971.0,25712,6428.0,174.0,24184.0,4,6876.0,999.0,0,,,0,,,32,6876.0,7875.0,125.12,147.14,,,2,医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,Sentence,1.0,0.0,0.0,0.0,,25144.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章46_1,,SV_Text_画面1,間違いなく、高学歴で国際問題に興味がある人たちだ。,,Tag3,65286,509947,,4701,427.0,163.0,992.0,11,34473.0,402.0,"医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者","医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者",2.30867,4701,427.0,163.0,992.0,11,34473.0,402.0,2.30867,4831,4831.0,4831.0,4831.0,1,34473.0,4831.0,4898,4898.0,4898.0,4898.0,1,34406.0,4898.0,0,,,0,,,10,34406.0,,379.46,,,,3,間違いなく、高学歴で国際問題に興味がある人たちだ。,Sentence,1.0,0.0,0.0,0.0,,4701.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章46_1,,SV_Text_画面1,しかし、このグループでさえも、大多数がほとんどの質問に間違っていた。,,Tag4,65286,509947,,7444,414.0,132.0,1628.0,18,0.0,373.0,"医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者","医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者",2.313,7071,416.0,132.0,1628.0,17,39578.0,180.0,2.31501,7688,3844.0,373.0,7315.0,2,0.0,373.0,7701,3851.0,373.0,7328.0,2,0.0,373.0,0,,,0,,,14,39565.0,373.0,49.12,230.42,,,4,しかし、このグループでさえも、大多数がほとんどの質問に間違っていた。,Sentence,1.0,373.0,373.0,7444.0,1.0,7444.0,44640.0,44267.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章46_1,,SV_Text_画面1,一般人の平均スコアを下回り、とんでもなく低い点数をとったノーベル賞受賞者や医療研究者もいた。,,Tag5,65286,509947,,11233,535.0,129.0,1329.0,21,48450.0,499.0,"医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者","医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者",2.40966,11233,535.0,129.0,1329.0,21,48450.0,499.0,2.40966,11539,3846.0,192.0,11041.0,3,48450.0,11041.0,11595,3865.0,202.0,11052.0,3,48440.0,11052.0,0,,,0,,,17,48440.0,59491.0,41.71,45.99,,,5,一般人の平均スコアを下回り、とんでもなく低い点数をとったノーベル賞受賞者や医療研究者もいた。,Sentence,1.0,499.0,10735.0,10735.0,0.0,11233.0,10735.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章46_1,,SV_Text_画面1,優秀な人たちでさえ、世界のことを何も知らないようだ。,,Tag6,65286,509947,,4335,361.0,153.0,982.0,12,59504.0,484.0,"医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者","医学生、教師、大学教授、著名な科学者、投資銀行のエリート、多国籍企業の役員、ジャーナリスト、活動家、そして政界のトップまで。,者",2.49311,4335,361.0,153.0,982.0,12,59504.0,484.0,2.49311,4828,2414.0,549.0,4279.0,2,59504.0,4279.0,4877,2439.0,586.0,4292.0,2,59491.0,4292.0,0,,,0,,,9,59491.0,63783.0,45.99,220.7,,,6,優秀な人たちでさえ、世界のことを何も知らないようだ。,Sentence,1.0,484.0,3809.0,4335.0,1.0,4335.0,4949.0,1139.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章46_2,,SV_Text_画面2,何も知らないというより、みんなが同じ勘違いをしているといったほうが近いかもしれない。,,Tag7,75693,575233,,6056,356.0,112.0,857.0,17,174.0,299.0,"まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,C",,2.69236,6056,356.0,112.0,857.0,17,174.0,299.0,2.69236,6277,3139.0,2221.0,4057.0,2,174.0,2221.0,6324,3162.0,2254.0,4070.0,2,141.0,2254.0,0,,,0,,,14,141.0,2395.0,154.08,60.02,,,1,何も知らないというより、みんなが同じ勘違いをしているといったほうが近いかもしれない。,Sentence,1.0,299.0,2121.0,2121.0,0.0,6056.0,2121.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章46_2,,SV_Text_画面2,世界について本当に何も知らなければ、クイズの正解率は、当てずっぽうに答えた場合と近くなるはず。,,Tag8,75693,575233,,8463,403.0,128.0,1167.0,21,2411.0,222.0,"まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,C",,2.63319,8463,403.0,128.0,1167.0,21,2411.0,222.0,2.63319,8721,4360.0,222.0,8499.0,2,2411.0,222.0,8798,4399.0,238.0,8560.0,2,2395.0,238.0,0,,,0,,,19,2395.0,2633.0,60.02,39.27,,,2,世界について本当に何も知らなければ、クイズの正解率は、当てずっぽうに答えた場合と近くなるはず。,Sentence,1.0,222.0,222.0,8463.0,1.0,8463.0,12398.0,12177.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章46_2,,SV_Text_画面2,しかし実際の正解率は、それよりずっと低い。,,Tag9,75693,575233,,3947,439.0,138.0,1354.0,9,15320.0,143.0,"まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,C",,2.42095,3947,439.0,138.0,1354.0,9,15320.0,143.0,2.42095,4307,4307.0,4307.0,4307.0,1,15320.0,4307.0,4363,4363.0,4363.0,4363.0,1,15263.0,4363.0,0,,,0,,,7,15263.0,19626.0,346.45,98.29,,,3,しかし実際の正解率は、それよりずっと低い。,Sentence,1.0,143.0,3947.0,3947.0,0.0,3947.0,3947.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章46_2,,SV_Text_画面2,仮に、このクイズを動物園のチンパンジーに出したとしよう。,,Tag10,75693,575233,,9724,389.0,91.0,1272.0,25,19655.0,327.0,"まず、A・B・Cのいずれかが書かれた大並のバナナを用意し、囲いの中に放り込む。,C",,2.5091,9724,389.0,91.0,1272.0,25,19655.0,327.0,2.5091,10277,2569.0,163.0,7647.0,4,19655.0,327.0,10407,2602.0,203.0,7661.0,4,19626.0,355.0,0,,,0,,,18,19626.0,27958.0,98.29,331.27,,,4,仮に、このクイズを動物園のチンパンジーに出したとしよう。,Sentence,1.0,327.0,7730.0,7730.0,0.0,9724.0,7730.0,0.0
