Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,Kaidhil,Version1,TOI_Text1,1,文章33_1,,SV_Text_画面1,ことばは他人とコミュニケーションを取るための唯一の手段ではないが、効果的な一手段であることは間違いない。,,Tag1,108910,470603,,10616,295.0,62.0,1072.0,36,359.0,62.0,"同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン","同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン",2.7593,10616,295.0,62.0,1072.0,36,359.0,62.0,2.7593,11393,11393.0,11393.0,11393.0,1,359.0,11393.0,11451,11451.0,11451.0,11451.0,1,302.0,11451.0,0,,,0,,,30,302.0,11752.0,263.19,390.38,,,1,ことばは他人とコミュニケーションを取るための唯一の手段ではないが、効果的な一手段であることは間違いない。,Sentence,1.0,0.0,0.0,0.0,,10616.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章33_1,,SV_Text_画面1,私達が他人が話した内容を理解するためには、音の連続として聞こえてくるものが「ことば」であることを判断し、そこに含まれる語の区別と、それらの語が指し示している内容の判断を行う必要がある。,,Tag2,108910,470603,,23924,412.0,87.0,2794.0,58,11832.0,99.0,"同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン","同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン",2.88143,23924,412.0,87.0,2794.0,58,11832.0,99.0,2.88143,24872,6218.0,267.0,23082.0,4,11832.0,23082.0,24990,6247.0,279.0,23162.0,4,11752.0,23162.0,0,,,0,,,53,11752.0,34915.0,390.38,110.72,,,2,私達が他人が話した内容を理解するためには、音の連続として聞こえてくるものが「ことば」であることを判断し、そこに含まれる語の区別と、それらの語が指し示している内容の判断を行う必要がある。,Sentence,1.0,0.0,0.0,0.0,,23924.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章33_1,,SV_Text_画面1,その判断はそのことばがどのような場面で、どのような相手に対して発せられたものであるかを考慮して行う必要があるが、その際の物理的環境や対人関係をすべて含めてコンテクストという。,,Tag3,108910,470603,,27596,445.0,64.0,2268.0,62,34941.0,678.0,"同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン","同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン",2.73431,27596,445.0,64.0,2268.0,62,34941.0,678.0,2.73431,28547,2855.0,64.0,14895.0,10,34941.0,4552.0,28732,2873.0,120.0,14900.0,10,34915.0,4577.0,0,,,0,,,49,34915.0,39492.0,110.72,46.44,,,3,その判断はそのことばがどのような場面で、どのような相手に対して発せられたものであるかを考慮して行う必要があるが、その際の物理的環境や対人関係をすべて含めてコンテクストという。,Sentence,1.0,0.0,0.0,0.0,,27596.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章33_1,,SV_Text_画面1,同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,,Tag4,108910,470603,,28039,312.0,70.0,1145.0,90,0.0,302.0,"同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン","同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン",2.8726,27397,311.0,70.0,1145.0,88,61765.0,912.0,2.87532,30742,2795.0,302.0,10716.0,11,0.0,302.0,30938,2813.0,302.0,10737.0,11,0.0,302.0,0,,,0,,,67,64977.0,302.0,38.02,263.19,,,4,同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,Sentence,1.0,302.0,302.0,27699.0,1.0,28039.0,89835.0,89533.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章33_1,,SV_Text_画面1,さらに、コンテクストは相手に対することば遣いや話し方、話す内容を選ぶ要因ともなる。,,Tag5,108910,470603,,5521,307.0,107.0,743.0,18,96293.0,394.0,"同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン","同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン",2.94383,5521,307.0,107.0,743.0,18,96293.0,394.0,2.94383,5866,2933.0,113.0,5752.0,2,96293.0,5752.0,5904,2952.0,132.0,5772.0,2,96273.0,5772.0,0,,,0,,,15,96273.0,102045.0,64.36,358.32,,,5,さらに、コンテクストは相手に対することば遣いや話し方、話す内容を選ぶ要因ともなる。,Sentence,1.0,394.0,5521.0,5521.0,0.0,5521.0,5521.0,0.0
Recording1,Kaidhil,Version1,TOI_Text1,1,文章33_1,,SV_Text_画面1,コミュニケーションを既定する要因としてコンテクストをどの程度考慮するかは社会ごとに異なる。,,Tag6,108910,470603,,5799,387.0,133.0,1074.0,15,102541.0,1074.0,"同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン","同じ音のことばでも、コンテクストによって指し示す内容が異なることばであることが判断できるし、また同じことばであってもコンテクストによって指し示す内容が異なる。,ン",2.85774,5799,387.0,133.0,1074.0,15,102541.0,1074.0,2.85774,5987,5987.0,5987.0,5987.0,1,102541.0,5987.0,6011,6011.0,6011.0,6011.0,1,102517.0,6011.0,0,,,0,,,14,102517.0,108528.0,93.01,88.84,,,6,コミュニケーションを既定する要因としてコンテクストをどの程度考慮するかは社会ごとに異なる。,Sentence,1.0,1074.0,5799.0,5799.0,1.0,5799.0,6139.0,340.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章33_2,,SV_Text_画面2,日本はコンテクストに依存する割合が高い「高コンテクスト文化」だと言われるが、これは話し手がことばで表現しなくても聞き手の側で話し手の意図を察することが期待されていることを表している。,,Tag7,113156,579513,,21157,399.0,100.0,1247.0,53,223.0,106.0,"周囲から期待されるような言語行動を取ることができるかどうかということは、社会の中で共有されている価値観を知っているかどうかということでもある。,っ",,2.89547,21157,399.0,100.0,1247.0,53,223.0,106.0,2.89547,21951,21951.0,21951.0,21951.0,1,223.0,21951.0,22024,22024.0,22024.0,22024.0,1,149.0,22024.0,0,,,0,,,50,149.0,22173.0,417.46,402.68,,,1,日本はコンテクストに依存する割合が高い「高コンテクスト文化」だと言われるが、これは話し手がことばで表現しなくても聞き手の側で話し手の意図を察することが期待されていることを表している。,Sentence,1.0,0.0,0.0,0.0,,21157.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章33_2,,SV_Text_画面2,ことば遣いは、その社会の中で共有されている価値観を反映する。,,Tag8,113156,579513,,8898,445.0,98.0,977.0,20,22240.0,118.0,"周囲から期待されるような言語行動を取ることができるかどうかということは、社会の中で共有されている価値観を知っているかどうかということでもある。,っ",,2.98496,8898,445.0,98.0,977.0,20,22240.0,118.0,2.98496,9442,9442.0,9442.0,9442.0,1,22240.0,9442.0,9509,9509.0,9509.0,9509.0,1,22173.0,9509.0,0,,,0,,,16,22173.0,,402.68,,,,2,ことば遣いは、その社会の中で共有されている価値観を反映する。,Sentence,1.0,0.0,0.0,0.0,,8898.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章33_2,,SV_Text_画面2,誰に敬意を表すべきかという価値観が、誰に丁寧なことば遣いをすべきかという言語的社会規範として反映されている。,,Tag9,113156,579513,,14882,551.0,130.0,1578.0,27,32252.0,1352.0,"周囲から期待されるような言語行動を取ることができるかどうかということは、社会の中で共有されている価値観を知っているかどうかということでもある。,っ",,2.80563,14882,551.0,130.0,1578.0,27,32252.0,1352.0,2.80563,15291,7645.0,130.0,15161.0,2,32252.0,15161.0,15322,7661.0,146.0,15177.0,2,32236.0,15177.0,0,,,0,,,24,32236.0,47412.0,52.04,409.64,,,3,誰に敬意を表すべきかという価値観が、誰に丁寧なことば遣いをすべきかという言語的社会規範として反映されている。,Sentence,1.0,0.0,0.0,0.0,,14882.0,0.0,0.0
Recording1,Kaidhil,Version1,TOI_Text2,1,文章33_2,,SV_Text_画面2,日本語の会話の中で見られる語の省略や、断定的な文末や接続表現の回避といったことばの使い方や、話の切り出し方などの談話展開の仕方も、日本の社会の中で共有されている価値観の反映であると見ることができる。,,Tag10,113156,579513,,25945,418.0,88.0,1571.0,62,0.0,149.0,"周囲から期待されるような言語行動を取ることができるかどうかということは、社会の中で共有されている価値観を知っているかどうかということでもある。,っ",,2.85954,25796,423.0,88.0,1571.0,61,47493.0,88.0,2.85866,26995,8998.0,149.0,16588.0,3,0.0,149.0,27084,9028.0,149.0,16669.0,3,0.0,149.0,0,,,0,,,52,47412.0,149.0,409.64,417.46,,,4,日本語の会話の中で見られる語の省略や、断定的な文末や接続表現の回避といったことばの使い方や、話の切り出し方などの談話展開の仕方も、日本の社会の中で共有されている価値観の反映であると見ることができる。,Sentence,2.0,149.0,149.0,25945.0,1.0,25945.0,70883.0,70734.0
