Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,微生物は、単細胞または細胞集団として存在する、または比較的複雑な多細胞からなる、微視的な生物である。,,,47969,379640,,4637,258.0,108.0,482.0,18,459.0,157.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",3.02234,4637,258.0,108.0,482.0,18,459.0,157.0,3.02234,5362,1787.0,785.0,2592.0,3,459.0,2592.0,5454,1818.0,813.0,2634.0,3,416.0,2634.0,0,,,0,,,13,416.0,4181.0,212.31,66.83,,,1,微生物は、単細胞または細胞集団として存在する、または比較的複雑な多細胞からなる、微視的な生物である。,Sentence,1.0,0.0,0.0,0.0,,4637.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,微生物には、生命の3つのドメイン（領域）すべてに属するほとんどの単細胞生物が含まれるため、極めて多種多様である。,,,47969,379640,,8779,283.0,65.0,971.0,31,301.0,116.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",3.17414,8779,283.0,65.0,971.0,31,301.0,116.0,3.17414,10118,1686.0,116.0,3815.0,6,301.0,116.0,10287,1714.0,152.0,3863.0,6,264.0,152.0,0,,,0,,,21,264.0,416.0,143.99,212.31,,,2,微生物には、生命の3つのドメイン（領域）すべてに属するほとんどの単細胞生物が含まれるため、極めて多種多様である。,Sentence,1.0,0.0,0.0,0.0,,8779.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,3つのドメインのうち2つ、古細菌と細菌には微生物しか含まれていない。,,,47969,379640,,5209,347.0,83.0,1561.0,15,10276.0,176.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",3.21578,5209,347.0,83.0,1561.0,15,10276.0,176.0,3.21578,5824,971.0,176.0,2268.0,6,10276.0,176.0,5986,998.0,197.0,2327.0,6,10255.0,197.0,0,,,0,,,8,10255.0,10451.0,64.64,43.88,,,3,3つのドメインのうち2つ、古細菌と細菌には微生物しか含まれていない。,Sentence,1.0,0.0,0.0,0.0,,5209.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,第3のドメインである真核生物には、すべての多細胞生物と、微生物である多くの単細胞原生生物や原生動物が含まれている。,,,47969,379640,,9158,316.0,70.0,1119.0,29,0.0,264.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",3.22241,8894,318.0,70.0,1119.0,28,22098.0,316.0,3.21559,10621,2655.0,264.0,8452.0,4,0.0,264.0,10711,2678.0,264.0,8507.0,4,0.0,264.0,0,,,0,,,20,22082.0,264.0,46.69,143.99,,,4,第3のドメインである真核生物には、すべての多細胞生物と、微生物である多くの単細胞原生生物や原生動物が含まれている。,Sentence,1.0,264.0,264.0,9158.0,1.0,9158.0,27784.0,27520.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,原生生物には、動物に関係するものや、緑色植物に関係するものもある。,,,47969,379640,,4580,327.0,138.0,761.0,14,36159.0,509.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",3.12649,4580,327.0,138.0,761.0,14,36159.0,509.0,3.12649,5489,5489.0,5489.0,5489.0,1,36159.0,5489.0,5511,5511.0,5511.0,5511.0,1,36137.0,5511.0,0,,,0,,,11,36137.0,41648.0,62.01,89.6,,,5,原生生物には、動物に関係するものや、緑色植物に関係するものもある。,Sentence,1.0,509.0,4580.0,4580.0,0.0,4580.0,4580.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,,,47969,379640,,4385,399.0,112.0,1422.0,11,41672.0,112.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",3.29842,2963,296.0,112.0,598.0,10,41672.0,112.0,3.23373,5182,1727.0,207.0,3552.0,3,41672.0,3552.0,5253,1751.0,233.0,3577.0,3,41648.0,3577.0,0,,,0,,,6,41648.0,45224.0,89.6,44.26,,,6,また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,Sentence,1.0,112.0,4385.0,4385.0,,4385.0,4385.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text2,1,文章10_2,,SV_Text_画面2,微生物という言葉の意味は、その多様性に対する理解が深まるにつれ変化を重ねている。,,,59309,427610,,6046,318.0,134.0,1373.0,19,512.0,157.0,"米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ","米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ",3.2238,6046,318.0,134.0,1373.0,19,512.0,157.0,3.2238,6998,2333.0,208.0,6440.0,3,512.0,6440.0,7075,2358.0,226.0,6477.0,3,475.0,6477.0,0,,,0,,,14,475.0,6952.0,110.06,98.09,,,1,微生物という言葉の意味は、その多様性に対する理解が深まるにつれ変化を重ねている。,Sentence,1.0,0.0,0.0,0.0,,6046.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text2,1,文章10_2,,SV_Text_画面2,米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,,,59309,427610,,17683,285.0,60.0,886.0,62,6982.0,449.0,"米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ","米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ",3.17926,17623,289.0,72.0,886.0,61,6982.0,449.0,3.17931,20529,3421.0,60.0,13929.0,6,6982.0,449.0,20751,3459.0,107.0,13932.0,6,6952.0,478.0,0,,,0,,,48,6952.0,7431.0,98.09,62.03,,,2,米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,Sentence,2.0,0.0,0.0,0.0,,17683.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text2,1,文章10_2,,SV_Text_画面2,英国微生物学会は、さらに遺伝物質を持たないタンパク質であるプリオンを微生物に加えている。,,,59309,427610,,4839,302.0,87.0,568.0,16,29525.0,357.0,"米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ","米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ",3.14772,4271,285.0,87.0,507.0,15,29525.0,357.0,3.14905,5502,5502.0,5502.0,5502.0,1,29525.0,5502.0,5546,5546.0,5546.0,5546.0,1,29481.0,5546.0,0,,,0,,,13,29481.0,,255.64,,,,3,英国微生物学会は、さらに遺伝物質を持たないタンパク質であるプリオンを微生物に加えている。,Sentence,1.0,0.0,0.0,0.0,,4839.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text2,1,文章10_2,,SV_Text_画面2,微生物の生息環境は実に多様で、南北極から赤道、砂漠、間欠泉、岩石、深海まで、あらゆる場所に生息している。,,,59309,427610,,7417,337.0,86.0,877.0,22,35472.0,345.0,"米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ","米国微生物学会は、「微生物は、人間の目に見えないほど小さい、顕微鏡サイズの生物または感染性粒子」とし、生物としての真核生物（植物や動物、一部の菌類）や原核生物（細菌や古細菌）だけでなく、非細胞生物であるウイルスも含めている。,イ",3.11838,7417,337.0,86.0,877.0,22,35472.0,345.0,3.11838,8760,8760.0,8760.0,8760.0,1,35472.0,8760.0,8768,8768.0,8768.0,8768.0,1,35464.0,8768.0,0,,,0,,,17,,44232.0,,392.94,,,4,微生物の生息環境は実に多様で、南北極から赤道、砂漠、間欠泉、岩石、深海まで、あらゆる場所に生息している。,Sentence,1.0,0.0,0.0,0.0,,7417.0,0.0,0.0
