Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,梅雨明けと共に日本の真夏は始まる。,,Tag1,52032,372143,Space,3691,284,145,846,13,1000,157,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.19245,3196,266,145,846,12,1000,157,2.18042,3985,1992,407,3578,2,1000,3578,4042,2021,443,3598,2,980,3598,0,,,0,,,10,5876,4578,128.96,252.58,,,1,梅雨明けと共に日本の真夏は始まる。,Sentence,1,0,0,0,,3691,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,,Tag2,52032,372143,Space,3951,232,128,372,17,4625,162,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.42108,3823,239,145,372,16,4625,162,2.4211,4358,1090,372,3002,4,4625,372,4479,1120,419,3027,4,4578,419,0,,,0,,,12,4578,5876,252.58,128.96,,,2,大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,Sentence,1,0,0,0,,3951,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,梅雨明けの直後は、梅雨明け十日といい、太平洋高気圧の勢力が強く気圧配置が安定しているので穏やかな晴天が続くことが多く、夕立も発生しにくいので、レジャーには最適だという意見もある。,,Tag3,52032,372143,Space,7003,200,62,470,35,5228,157,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.43192,7003,200,62,470,35,5228,157,2.43192,7706,1101,102,4326,7,5228,157,7887,1127,109,4341,7,5217,167,0,,,0,,,27,10114,5385,64.31,86.79,,,3,梅雨明けの直後は、梅雨明け十日といい、太平洋高気圧の勢力が強く気圧配置が安定しているので穏やかな晴天が続くことが多く、夕立も発生しにくいので、レジャーには最適だという意見もある。,Sentence,1,0,0,0,,7003,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,これは、梅雨前線を押し上げた小笠原高気圧の強い状態が、小笠原高気圧の活動の強弱の周期、つまり10日くらい続くためである。,,Tag4,52032,372143,Space,2732,182,70,330,15,13108,137,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.36617,2732,182,70,330,15,13108,137,2.36617,3038,1013,137,2258,3,13108,137,3122,1041,153,2277,3,13091,153,0,,,0,,,12,42590,13245,331.25,41.58,,,4,これは、梅雨前線を押し上げた小笠原高気圧の強い状態が、小笠原高気圧の活動の強弱の周期、つまり10日くらい続くためである。,Sentence,1,0,0,0,,2732,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,日本列島に張り出してくる小笠原高気圧から暖かく湿った空気が日本列島に入り、気圧の差が小さく、等圧線の間隔が広いために風も弱いので非常に蒸し暑くなる。,,Tag5,52032,372143,Space,3282,234,116,642,14,20126,116,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.50776,3282,234,116,642,14,20126,116,2.50776,3652,1826,1177,2474,2,20126,2474,3737,1868,1188,2548,2,20052,2548,0,,,0,,,12,20052,44470,447.95,147.49,,,5,日本列島に張り出してくる小笠原高気圧から暖かく湿った空気が日本列島に入り、気圧の差が小さく、等圧線の間隔が広いために風も弱いので非常に蒸し暑くなる。,Sentence,1,0,0,0,,3282,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,風が弱い上に湿度が高いため、体感温度は熱帯地方を上回るほどである。,,Tag6,52032,372143,Space,5788,263,65,980,22,22861,169,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.46995,5788,263,65,980,22,22861,169,2.46995,6362,3181,980,5382,2,22861,5382,6477,3239,1031,5447,2,22797,5447,0,,,0,,,19,41204,28244,314.05,342.88,,,6,風が弱い上に湿度が高いため、体感温度は熱帯地方を上回るほどである。,Sentence,1,0,0,0,,5788,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,さらに、高い湿度が局地的に積乱雲を発生させ、雷を伴い激しく雨が降る夕立が起こりやすい。,,Tag7,52032,372143,Space,7728,276,129,582,28,28295,136,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.50097,7728,276,129,582,28,28295,136,2.50097,8230,4115,1339,6891,2,28295,6891,8291,4145,1349,6942,2,28244,6942,0,,,0,,,26,28244,35185,342.88,338.43,,,7,さらに、高い湿度が局地的に積乱雲を発生させ、雷を伴い激しく雨が降る夕立が起こりやすい。,Sentence,1,0,0,0,,7728,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,夏の強い日射で暖まった地上付近の湿った空気が強い上昇気流で上昇し雲となり、上空まで達する積乱雲を作るのである。,,Tag8,52032,372143,Space,5683,227,97,547,25,0,267,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.41669,5416,226,97,547,24,557,267,2.41621,6517,1629,167,5182,4,0,825,6609,1652,169,5247,4,0,825,0,,,0,,,19,35185,41204,338.43,314.05,,,8,夏の強い日射で暖まった地上付近の湿った空気が強い上昇気流で上昇し雲となり、上空まで達する積乱雲を作るのである。,Sentence,1,267,535,5683,1,5683,39859,39324
Recording1,テスト用,Version1,TOI_Text2,1,Text (2),,SV_Text2,このような夏の典型的な気圧配置を南高北低型という。,,Tag9,28455,424175,Space,0,,,,0,,,"高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,り",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,1,このような夏の典型的な気圧配置を南高北低型という。,Sentence,1,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text2,1,Text (2),,SV_Text2,高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,,Tag10,28455,424175,Space,6311,197,98,409,32,5109,168,"高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,り",,2.72764,6311,197,98,409,32,5109,168,2.72764,7516,1503,227,3554,5,5109,3554,7761,1552,277,3560,5,5103,3560,0,,,0,,,24,10167,8663,215.35,388.32,,,2,高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,Sentence,2,168,6084,6084,0,6311,6084,0
