Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,典型的には、Googleニュースなどのニュース・アグリゲーターによって収集された同一事件に関する記事の集合を入力として、それらの簡潔な要約を作成するものである。,,,175112,373387,,9507,211.0,80.0,556.0,45,126854.0,126.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.45434,9507,211.0,80.0,556.0,45,126854.0,126.0,2.45434,11148,3716.0,430.0,10144.0,3,126854.0,10144.0,11233,3744.0,463.0,10155.0,3,126843.0,10155.0,0,,,0,,,37,165385.0,136998.0,101.23,170.43,,,1,典型的には、Googleニュースなどのニュース・アグリゲーターによって収集された同一事件に関する記事の集合を入力として、それらの簡潔な要約を作成するものである。,Sentence,1.0,0.0,0.0,0.0,,9507.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,例えば、新聞記事の見出しは記事全体の簡潔な要約となっており、読者に対して元の記事全体を読むべきか否か判断する材料を与えるという点において指示的要約である。,,,175112,373387,,7036,243.0,81.0,803.0,29,76091.0,87.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.39857,7036,243.0,81.0,803.0,29,76091.0,87.0,2.39857,8380,8380.0,8380.0,8380.0,1,76091.0,8380.0,8431,8431.0,8431.0,8431.0,1,76040.0,8431.0,0,,,0,,,22,76040.0,84471.0,321.17,416.94,,,1,例えば、新聞記事の見出しは記事全体の簡潔な要約となっており、読者に対して元の記事全体を読むべきか否か判断する材料を与えるという点において指示的要約である。,Sentence,1.0,0.0,0.0,0.0,,7036.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,自動要約は、コンピュータプログラムを用いて、文書からその要約を作成する処理である。,,Tag1,175112,373387,,6773,218.0,72.0,699.0,31,930.0,149.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.34594,6773,218.0,72.0,699.0,31,930.0,149.0,2.34594,7857,3929.0,2178.0,5679.0,2,930.0,5679.0,7907,3954.0,2209.0,5698.0,2,911.0,5698.0,0,,,0,,,27,911.0,6609.0,60.73,390.51,,,1,自動要約は、コンピュータプログラムを用いて、文書からその要約を作成する処理である。,Sentence,1.0,0.0,0.0,0.0,,6773.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,作成される要約は、要約の対象となる文書の最も重要な要素のみを残しているべきであり、いわゆる情報のオーバーロードに伴い自動要約に対する関心も増している。,,Tag2,175112,373387,,11558,227.0,69.0,768.0,51,764.0,147.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.43977,11277,226.0,69.0,768.0,50,764.0,147.0,2.43747,13196,3299.0,147.0,10630.0,4,764.0,147.0,13370,3343.0,201.0,10668.0,4,710.0,201.0,0,,,0,,,42,6609.0,911.0,390.51,60.73,,,2,作成される要約は、要約の対象となる文書の最も重要な要素のみを残しているべきであり、いわゆる情報のオーバーロードに伴い自動要約に対する関心も増している。,Sentence,1.0,0.0,0.0,0.0,,11558.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,一方、報知的要約は、要約そのものが元となった文書を代替しうる要約である。,,,175112,373387,,7609,245.0,129.0,621.0,31,75892.0,148.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.43164,7236,250.0,129.0,621.0,29,84532.0,132.0,2.42731,8681,4340.0,148.0,8533.0,2,75892.0,148.0,8742,4371.0,148.0,8594.0,2,75892.0,148.0,0,,,0,,,26,84471.0,76040.0,416.94,321.17,,,2,一方、報知的要約は、要約そのものが元となった文書を代替しうる要約である。,Sentence,1.0,148.0,148.0,7609.0,1.0,7609.0,14644.0,14497.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,,,175112,373387,,8568,238.0,87.0,823.0,36,137025.0,653.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.41048,8439,241.0,87.0,823.0,35,137025.0,653.0,2.41025,9441,1888.0,129.0,6617.0,5,137025.0,6617.0,9537,1907.0,164.0,6643.0,5,136998.0,6643.0,0,,,0,,,29,136998.0,165182.0,170.43,42.92,,,2,抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,Sentence,1.0,0.0,0.0,0.0,,8568.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,首尾一貫した要約を作成するためには要約の長さや書き方のスタイル、文法などといった点が考慮されなければならない。,,Tag3,175112,373387,,4064,194.0,69.0,342.0,21,21816.0,140.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.38751,4064,194.0,69.0,342.0,21,21816.0,140.0,2.38751,4555,4555.0,4555.0,4555.0,1,21816.0,4555.0,4627,4627.0,4627.0,4627.0,1,21745.0,4627.0,0,,,0,,,19,21745.0,26371.0,464.99,391.81,,,3,首尾一貫した要約を作成するためには要約の長さや書き方のスタイル、文法などといった点が考慮されなければならない。,Sentence,1.0,0.0,0.0,0.0,,4064.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,一方、生成的要約は、文書を一度何らかの中間表現（あるいは意味表現）に変換し、この中間表現を元に自然言語生成の技術を用いて要約を作成する。,,,175112,373387,,9074,206.0,70.0,518.0,44,143837.0,117.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.47329,9074,206.0,70.0,518.0,44,143837.0,117.0,2.47329,10392,3464.0,187.0,6620.0,3,143837.0,6620.0,10498,3499.0,203.0,6643.0,3,143814.0,6643.0,0,,,0,,,39,165182.0,150457.0,42.92,175.17,,,3,一方、生成的要約は、文書を一度何らかの中間表現（あるいは意味表現）に変換し、この中間表現を元に自然言語生成の技術を用いて要約を作成する。,Sentence,1.0,0.0,0.0,0.0,,9074.0,0.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,例えば、ニュース番組の字幕は、聴覚に何らかの障害のある視聴者に対してはアナウンサーによる音声の代替として機能するため、報知的要約と言える。,,,175112,373387,,4893,188.0,97.0,355.0,26,93114.0,163.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.4485,4893,188.0,97.0,355.0,26,93114.0,163.0,2.4485,5680,1893.0,164.0,5285.0,3,93114.0,5285.0,5762,1921.0,175.0,5334.0,3,93065.0,5334.0,0,,,0,,,22,93065.0,98399.0,194.43,353.72,,,3,例えば、ニュース番組の字幕は、聴覚に何らかの障害のある視聴者に対してはアナウンサーによる音声の代替として機能するため、報知的要約と言える。,Sentence,1.0,163.0,4498.0,4498.0,0.0,4893.0,4498.0,0.0
Recording1,テスト用,Version1,TOI_Text1,1,"文章6_1,文章6_2,文章6_3",,SV_Text_画面1,自動要約の応用先の1つはGoogleなどの検索エンジンであるが、もちろん独立した1つの要約プログラムといったものもありうる。,,Tag4,175112,373387,,4088,204.0,108.0,358.0,20,26444.0,198.0,"抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位","抽出的要約は、要約の対象となる文書に含まれる単語や句、文といった単位をうまく抽出し、それらを組み合わせることで要約を作成する。,位",2.44558,4088,204.0,108.0,358.0,20,26444.0,198.0,2.44558,4950,2475.0,244.0,4706.0,2,26444.0,4706.0,5038,2519.0,260.0,4778.0,2,26371.0,4778.0,0,,,0,,,13,26371.0,31150.0,391.81,443.84,,,4,自動要約の応用先の1つはGoogleなどの検索エンジンであるが、もちろん独立した1つの要約プログラムといったものもありうる。,Sentence,1.0,0.0,0.0,0.0,,4088.0,0.0,0.0
