カタカナ語使用率（動詞のみ）,カタカナ語使用率（動詞のみ）（分子）,カタカナ語使用率（名詞のみ）,カタカナ語使用率（名詞のみ）（分子）,初級語彙の数,初級語彙の比率（％）,延べ語数,文の長さの平均（文字数）,文の長さの平均（語数）,漢字使用率,漢字使用率（分子）,漢字語彙難易度（低）,漢字語彙難易度（低）（分子）,漢字語彙難易度（外）,漢字語彙難易度（外）（分子）,漢字語彙難易度（常）,漢字語彙難易度（常）（分子）,漢字語彙難易度（高）,漢字語彙難易度（高）（分子）,漢字難易度（低）,漢字難易度（低）（分子）,漢字難易度（外）,漢字難易度（外）（分子）,漢字難易度（常）,漢字難易度（常）（分子）,漢字難易度（高）,漢字難易度（高）（分子）,漢語使用率（動詞のみ）,漢語使用率（動詞のみ）（分子）,漢語使用率（名詞のみ）,漢語使用率（名詞のみ）（分子）,漢語使用率（名詞＋動詞）,漢語使用率（名詞＋動詞）（分子）,総名詞数,総文字数,複合名詞句の長さの平均,連体修飾句の長さ（文字数）,連体修飾句の長さ（語数）,連体修飾率,連体修飾率（分子）,高頻度語使用率（延べ語）,高頻度語使用率（延べ語）（分子）
0,0,0.08,1,19,70.37,29,52,29,0.29,15,0.29,2,0,0,0.14,1,0.57,4,0.53,8,0,0,0.13,2,0.33,5,0,0,0.58,7,0.54,7,12,52,3,31,16,0.2,2,0.86,25
0,0,0,0,47,77.05,63,99,63,0.46,46,0.28,5,0,0,0.06,1,0.61,11,0.67,31,0,0,0.02,1,0.3,14,0.12,1,0.65,17,0.53,18,26,99,3.5,92,59,0.05,1,0.81,51
0,0,0,0,38,84.44,45,71,45,0.25,18,0.36,4,0,0,0,0,0.36,4,0.67,12,0,0,0,0,0.33,6,0.2,2,0.69,9,0.48,11,13,71,3.5,64,40,0.09,1,0.87,39
0,0,0,0,21,75,27,45,27,0.38,17,0.4,2,0,0,0,0,0.4,2,0.53,9,0,0,0,0,0.47,8,0.33,1,0.44,4,0.42,5,9,45,3,9,5,0.29,2,0.78,21
0,0,0.1,1,25,80.65,31,56,31,0.16,9,0,0,0,0,0.2,1,0.2,1,0.56,5,0,0,0.33,3,0.11,1,0.5,2,0.3,3,0.36,5,10,56,5,44,23,0.22,2,0.74,23
0,0,0.1,2,27,57.45,47,86,47,0.36,31,0.27,4,0,0,0.13,2,0.4,6,0.58,18,0,0,0.16,5,0.26,8,0.5,3,0.6,12,0.58,15,20,86,6.4,32,16,0.23,3,0.68,32
0,0,0,0,24,85.71,31,48,31,0.29,14,0.8,4,0,0,0.2,1,0,0,0.86,12,0,0,0.07,1,0.07,1,0,0,0.71,5,0.38,5,7,48,0,25,16,0.43,3,0.87,27
0,0,0,0,30,76.92,40,64,40,0.3,19,0.3,3,0,0,0,0,0.5,5,0.58,11,0,0,0,0,0.42,8,0.29,2,0.67,8,0.53,10,12,64,3.5,50,32,0.2,2,0.88,35
0,0,0,0,40,83.33,49,82,49,0.27,22,0.18,2,0,0,0.09,1,0.45,5,0.55,12,0,0,0.05,1,0.41,9,0.3,3,0.5,8,0.42,11,16,82,3.5,56,34,0.14,2,0.82,40
0,0,0,0,25,73.53,39,61,39,0.26,16,0.2,1,0,0,0,0,0.8,4,0.56,9,0,0,0.06,1,0.38,6,0,0,0.42,5,0.29,5,12,61,6,24,16,0.33,3,0.74,29
0,0,0,0,46,82.14,59,92,59,0.32,29,0.29,4,0,0,0,0,0.57,8,0.45,13,0,0,0.03,1,0.52,15,0.18,2,0.6,12,0.45,14,20,92,2,81,51,0.11,2,0.81,48
0,0,0.06,1,36,72,51,87,51,0.28,24,0.17,2,0,0,0.17,2,0.42,5,0.54,13,0,0,0.12,3,0.33,8,0.14,1,0.65,11,0.5,12,17,87,4.5,56,34,0.23,3,0.84,43
0,0,0.2,2,26,70.27,36,79,36,0.19,15,0.25,1,0,0,0,0,0.75,3,0.47,7,0,0,0,0,0.53,8,0,0,0.4,4,0.27,4,10,79,0,57,23,0.3,3,0.72,26
0,0,0.14,1,12,63.16,20,41,20,0.29,12,0,0,0,0,0,0,1,2,0.58,7,0,0,0.08,1,0.33,4,0,0,0.29,2,0.2,2,7,41,5,23,11,0.17,1,0.65,13
0,0,0.25,2,12,60,19,45,19,0.24,11,0.17,1,0,0,0.33,2,0.33,2,0.45,5,0,0,0.18,2,0.36,4,0.33,1,0.62,5,0.55,6,8,45,4,28,9,0.17,1,0.79,15
0,0,0.12,2,36,75,53,91,53,0.29,26,0.38,3,0,0,0.12,1,0.12,1,0.77,20,0,0,0.04,1,0.19,5,0.3,3,0.29,5,0.3,8,17,91,8,52,29,0.12,2,0.75,40
0,0,0,0,13,72.22,20,30,20,0.37,11,0.14,1,0,0,0,0,0.57,4,0.45,5,0,0,0.09,1,0.45,5,0.5,2,0.62,5,0.58,7,8,30,4,14,10,0.17,1,0.8,16
0,0,0,0,25,69.44,34,54,34,0.37,20,0.2,2,0,0,0.2,2,0.5,5,0.4,8,0,0,0.25,5,0.35,7,0.2,1,0.69,9,0.56,10,13,54,5,36,23,0.14,1,0.76,26
