カタカナ語使用率（動詞のみ）,カタカナ語使用率（動詞のみ）（分子）,カタカナ語使用率（名詞のみ）,カタカナ語使用率（名詞のみ）（分子）,初級語彙の数,初級語彙の比率（％）,延べ語数,文の長さの平均（文字数）,文の長さの平均（語数）,漢字使用率,漢字使用率（分子）,漢字語彙難易度（低）,漢字語彙難易度（低）（分子）,漢字語彙難易度（外）,漢字語彙難易度（外）（分子）,漢字語彙難易度（常）,漢字語彙難易度（常）（分子）,漢字語彙難易度（高）,漢字語彙難易度（高）（分子）,漢字難易度（低）,漢字難易度（低）（分子）,漢字難易度（外）,漢字難易度（外）（分子）,漢字難易度（常）,漢字難易度（常）（分子）,漢字難易度（高）,漢字難易度（高）（分子）,漢語使用率（動詞のみ）,漢語使用率（動詞のみ）（分子）,漢語使用率（名詞のみ）,漢語使用率（名詞のみ）（分子）,漢語使用率（名詞＋動詞）,漢語使用率（名詞＋動詞）（分子）,総名詞数,総文字数,複合名詞句の長さの平均,連体修飾句の長さ（文字数）,連体修飾句の長さ（語数）,連体修飾率,連体修飾率（分子）,高頻度語使用率（延べ語）,高頻度語使用率（延べ語）（分子）
0,0,0,0,41,78.85,57,93,57,0.33,31,0.53,9,0,0,0,0,0.47,8,0.65,20,0,0,0,0,0.35,11,0,0,0.65,17,0.57,17,26,93,4.6,86,53,0.07,1,0.67,38
0,0,0,0,31,72.09,47,84,47,0.29,24,0.43,6,0,0,0.14,2,0.36,5,0.54,13,0,0,0.12,3,0.33,8,0.2,1,0.57,13,0.5,14,23,84,5,31,18,0.17,2,0.6,28
0,0,0,0,23,67.65,41,70,41,0.31,22,0.33,3,0,0,0.22,2,0.33,3,0.41,9,0,0,0.14,3,0.45,10,0.2,1,0.38,8,0.35,9,21,70,5.67,0,0,0,0,0.54,22
0,0,0,0,23,69.7,34,43,34,0.53,23,0.57,8,0,0,0.07,1,0.21,3,0.7,16,0,0,0.04,1,0.26,6,1,2,0.57,12,0.61,14,21,43,5.5,0,0,0,0,0.65,22
0,0,0,0,29,67.44,46,72,46,0.35,25,0.14,2,0,0,0.21,3,0.5,7,0.4,10,0,0,0.12,3,0.48,12,0.67,2,0.44,12,0.47,14,27,72,5.6,29,18,0.23,3,0.54,25
0,0,0,0,27,67.5,44,82,44,0.34,28,0.21,3,0,0,0.21,3,0.43,6,0.5,14,0,0,0.21,6,0.29,8,0.4,2,0.6,12,0.56,14,20,82,4.67,68,36,0.15,2,0.61,27
0,0,0,0,14,60.87,26,52,26,0.23,12,0,0,0,0,0.17,1,0.83,5,0.42,5,0,0,0.17,2,0.42,5,0,0,0.6,6,0.46,6,10,52,4.5,9,5,0.25,2,0.62,16
0,0,0,0,26,63.41,43,65,43,0.48,31,0.29,5,0,0,0.12,2,0.41,7,0.48,15,0,0,0.1,3,0.42,13,0.43,3,0.7,14,0.63,17,20,65,4.4,8,6,0.17,2,0.74,32
0,0,0,0,12,80,16,19,16,0.37,7,0.2,1,0,0,0.2,1,0.4,2,0.29,2,0,0,0.29,2,0.43,3,0.5,1,0.5,4,0.5,5,8,19,5,0,0,0,0,0.62,10
0,0,0,0,30,69.77,53,90,53,0.3,27,0.08,1,0,0,0.17,2,0.67,8,0.37,10,0,0,0.07,2,0.56,15,0.2,1,0.48,11,0.43,12,23,90,4.75,84,49,0.06,1,0.68,36
0,0,0,0,15,88.24,24,47,24,0.13,6,0,0,0,0,0,0,0,0,0.83,5,0,0,0.17,1,0,0,0,0,0,0,0,0,7,47,0,13,9,0.14,1,0.54,13
0,0,0,0,13,61.9,26,48,26,0.27,13,0.29,2,0,0,0.29,2,0.29,2,0.54,7,0,0,0.23,3,0.23,3,0.33,1,0.55,6,0.5,7,11,48,5,41,21,0.11,1,0.73,19
0,0,0,0,40,59.7,69,115,69,0.45,52,0.33,9,0,0,0.11,3,0.52,14,0.52,27,0,0,0.08,4,0.4,21,0.2,1,0.72,26,0.66,27,36,115,5.67,64,35,0.24,4,0.71,49
0,0,0,0,35,79.55,52,81,52,0.21,17,0.31,4,0,0,0.15,2,0.38,5,0.35,6,0,0,0.12,2,0.53,9,0.67,2,0.34,11,0.37,13,32,81,5.5,25,20,0.15,2,0.42,22
0,0,0,0,9,60,14,26,14,0.38,10,0.33,1,0,0,0.67,2,0,0,0.7,7,0,0,0.2,2,0.1,1,0,0,0.6,3,0.5,3,5,26,5,9,4,0.25,1,0.79,11
0,0,0,0,14,60.87,27,46,27,0.41,19,0.57,4,0,0,0,0,0.43,3,0.68,13,0,0,0.11,2,0.21,4,0,0,0.58,7,0.44,7,12,46,8,32,18,0.25,2,0.63,17
0,0,0,0,24,64.86,40,62,40,0.42,26,0.45,5,0,0,0,0,0.55,6,0.58,15,0,0,0.04,1,0.38,10,0,0,0.65,11,0.52,11,17,62,4.5,53,34,0.17,2,0.72,29
0,0,0,0,19,79.17,30,53,30,0.23,12,0.2,1,0,0,0.2,1,0.6,3,0.25,3,0,0,0.08,1,0.67,8,0,0,0.36,5,0.28,5,14,53,9,28,16,0.14,1,0.63,19
