Actual,Predicted,Error,,X_std,Y_std,,X_100,Y_100
8.782,8.881776764,-0.099776764,,-0.71512076,-1.001013411,,0.08782,0.088817768
56.09,18.22970578,37.86029422,,1.432596355,-0.108900078,,0.5609,0.182297058
9.808,10.33854437,-0.530544375,,-0.668541793,-0.861987772,,0.09808,0.103385444
9.679,19.11557669,-9.436576689,,-0.674398213,-0.024357583,,0.09679,0.191155767
7.756,19.52482541,-11.76882541,,-0.761699727,0.014698794,,0.07756,0.195248254
3.654,13.62194529,-9.96794529,,-0.947924797,-0.548638609,,0.03654,0.136219453
2.5,13.81627512,-11.31627512,,-1.000314785,-0.530092872,,0.025,0.138162751
4.679,11.21716451,-6.538164508,,-0.901391229,-0.778137249,,0.04679,0.112171645
20.321,7.596499692,12.72450031,,-0.191266279,-1.123672966,,0.20321,0.075964997
5.064,13.6628872,-8.598887198,,-0.883912766,-0.544731345,,0.05064,0.136628872
5.192,11.76862066,-6.576620662,,-0.878101745,-0.725509401,,0.05192,0.117686207
3.397,10.20868034,-6.811680338,,-0.959592238,-0.874381259,,0.03397,0.102086803
6.474,11.47963646,-5.005636461,,-0.819900736,-0.753088414,,0.06474,0.114796365
6.218,9.700827616,-3.482827616,,-0.831522778,-0.922847843,,0.06218,0.097008276
26.218,26.1179459,0.100054102,,0.076449283,0.643908824,,0.26218,0.261179459
26.731,8.962318929,17.76868107,,0.099738767,-0.993326924,,0.26731,0.089623189
61.346,42.83833281,18.50766719,,1.671211412,2.239607728,,0.61346,0.428383328
62.372,28.38176893,33.99023107,,1.717790379,0.859955256,,0.62372,0.283817689
46.731,9.458956318,37.27204368,,1.007710828,-0.945930668,,0.46731,0.094589563
6.218,6.202366474,0.015633526,,-0.831522778,-1.256721134,,0.06218,0.062023665
25.962,10.09473629,15.86726371,,0.064827241,-0.885255432,,0.25962,0.100947363
4.551,10.71966063,-6.168660629,,-0.90720225,-0.825616198,,0.04551,0.107196606
6.859,12.37482935,-5.515829345,,-0.802422274,-0.667656282,,0.06859,0.123748294
7.628,10.46083816,-2.83283816,,-0.767510748,-0.850316746,,0.07628,0.104608382
20.064,8.520882306,11.54311769,,-0.20293372,-1.035455131,,0.20064,0.085208823
64.679,6.831287299,57.8477127,,1.822524957,-1.196700497,,0.64679,0.068312873
7.756,7.092219981,0.663780019,,-0.761699727,-1.171798562,,0.07756,0.0709222
4.808,8.275818746,-3.467818746,,-0.895534809,-1.058842608,,0.04808,0.082758187
36.474,9.435499263,27.03850074,,0.542057356,-0.948169276,,0.36474,0.094354993
0.962,4.860477038,-3.898477038,,-1.070137836,-1.384783452,,0.00962,0.04860477
9.038,7.148854558,1.889145442,,-0.703498718,-1.166393679,,0.09038,0.071488546
39.936,8.853563183,31.08243682,,0.69922732,-1.003705955,,0.39936,0.088535632
54.423,7.734564055,46.68843594,,1.356916883,-1.110496886,,0.54423,0.077345641
2.115,8.083273455,-5.968273455,,-1.017793247,-1.077218038,,0.02115,0.080832735
7.628,15.94612558,-8.318125581,,-0.767510748,-0.326832022,,0.07628,0.159461256
22.115,20.28740217,1.827597835,,-0.109821185,0.087474795,,0.22115,0.202874022
6.987,7.414852686,-0.427852686,,-0.796611253,-1.141008326,,0.06987,0.074148527
32.885,23.17429306,9.710706943,,0.37912177,0.36298329,,0.32885,0.231742931
7.628,7.870868335,-0.242868335,,-0.767510748,-1.097488779,,0.07628,0.078708683
71.09,57.1414917,13.9485083,,2.113575401,3.604620098,,0.7109,0.571414917
50,18.48226753,31.51773247,,1.156118862,-0.084797018,,0.5,0.184822675
61.09,60.99025594,0.099744057,,1.65958937,3.971924331,,0.6109,0.609902559
24.295,24.1947194,0.100280601,,-0.010852231,0.460366993,,0.24295,0.241947194
2.885,12.21378361,-9.328783608,,-0.982836323,-0.683025574,,0.02885,0.122137836
34.551,26.57209491,7.978905093,,0.454755843,0.687250229,,0.34551,0.265720949
8.013,12.58917459,-4.576174588,,-0.750032286,-0.647200388,,0.08013,0.125891746
65.449,48.8063648,16.6426352,,1.857481881,2.809162856,,0.65449,0.488063648
4.551,12.12608754,-7.575087541,,-0.90720225,-0.691394789,,0.04551,0.121260875
50,35.16911122,14.83088878,,1.156118862,1.507700713,,0.5,0.351691112
24.423,15.36166517,9.061334833,,-0.005041209,-0.38260961,,0.24423,0.153616652
24.423,15.94734555,8.475654447,,-0.005041209,-0.326715595,,0.24423,0.159473456
2.885,7.696253414,-4.811253414,,-0.982836323,-1.114153036,,0.02885,0.076962534
1.859,7.823475464,-5.964475464,,-1.029415289,-1.102011685,,0.01859,0.078234755
2.5,8.185001037,-5.685001037,,-1.000314785,-1.067509735,,0.025,0.08185001
3.013,6.328987182,-3.315987182,,-0.977025301,-1.244637172,,0.03013,0.063289872
45.192,32.0152196,13.1767804,,0.937842378,1.206711182,,0.45192,0.320152196
1.987,6.843835999,-4.856835999,,-1.023604268,-1.19550292,,0.01987,0.06843836
1.859,4.94143136,-3.08243136,,-1.029415289,-1.37705763,,0.01859,0.049414314
4.679,11.06281936,-6.383819358,,-0.901391229,-0.792867075,,0.04679,0.110628194
5.321,27.58470117,-22.26370117,,-0.872245325,0.783887629,,0.05321,0.275847012
5.577,9.992768881,-4.415768881,,-0.860623283,-0.894986624,,0.05577,0.099927689
4.167,8.186880942,-4.019880942,,-0.924635313,-1.067330327,,0.04167,0.081868809
11.603,5.903970437,5.699029563,,-0.587051301,-1.28519836,,0.11603,0.059039704
6.346,12.73114344,-6.385143442,,-0.825711757,-0.633651685,,0.06346,0.127311434
6.603,5.162674858,1.440325142,,-0.814044316,-1.355943406,,0.06603,0.051626749
3.782,7.861978252,-4.079978252,,-0.942113776,-1.098337198,,0.03782,0.078619783
4.551,8.097784484,-3.546784484,,-0.90720225,-1.075833188,,0.04551,0.080977845
5.449,12.57614235,-7.127142352,,-0.866434304,-0.64844411,,0.05449,0.125761424
5.064,7.177355886,-2.113355886,,-0.883912766,-1.163673674,,0.05064,0.071773559
4.808,19.42068286,-14.61268286,,-0.895534809,0.00476002,,0.04808,0.194206829
35.192,15.3822361,19.8097639,,0.483856347,-0.380646437,,0.35192,0.153822361
60.449,60.34905883,0.099941173,,1.630488865,3.910732114,,0.60449,0.603490588
72.885,52.11786243,20.76713757,,2.195065893,3.12519341,,0.72885,0.521178624
14.808,43.97538771,-29.16738771,,-0.441548778,2.348121799,,0.14808,0.439753877
61.731,36.88239096,24.84860904,,1.688689875,1.671206414,,0.61731,0.36882391
53.782,49.76954485,4.012455149,,1.327816379,2.901083298,,0.53782,0.497695449
15.064,35.79539198,-20.73139198,,-0.429926736,1.567469396,,0.15064,0.35795392
13.013,24.25224518,-11.23924518,,-0.523039271,0.465856927,,0.13013,0.242522452
10.833,13.45839148,-2.625391475,,-0.622008225,-0.564247257,,0.10833,0.134583915
12.885,10.69746137,2.187538626,,-0.528850292,-0.827734769,,0.12885,0.106974614
12.372,14.28975579,-1.917755791,,-0.552139775,-0.484906562,,0.12372,0.142897558
10.962,26.59535951,-15.63335951,,-0.616151805,0.689470471,,0.10962,0.265953595
11.346,11.2463055,0.099694501,,-0.598718742,-0.775356198,,0.11346,0.112463055
11.859,13.23681325,-1.377813253,,-0.575429258,-0.585393426,,0.11859,0.132368133
14.423,14.32312805,0.099871948,,-0.45902724,-0.481721702,,0.14423,0.143231281
30.192,24.31142048,5.880579517,,0.256863332,0.471504283,,0.30192,0.243114205
9.808,18.54451824,-8.736518235,,-0.668541793,-0.078856163,,0.09808,0.185445182
10.705,12.03934025,-1.33434025,,-0.627819246,-0.699673459,,0.10705,0.120393403
9.936,8.470759021,1.465240979,,-0.662730772,-1.040238614,,0.09936,0.08470759
3.397,11.41049306,-8.013493061,,-0.959592238,-0.759687068,,0.03397,0.114104931
54.423,48.33989034,6.083109662,,1.356916883,2.764645179,,0.54423,0.483398903
11.474,16.74280897,-5.268808966,,-0.592907721,-0.250801078,,0.11474,0.16742809
5.833,9.003676447,-3.170676447,,-0.849001241,-0.989379997,,0.05833,0.090036764
6.603,6.702896545,-0.099896545,,-0.814044316,-1.208953383,,0.06603,0.067028965
3.91,11.79331961,-7.883319607,,-0.936302754,-0.723152274,,0.0391,0.117933196
5.192,21.80891965,-16.61691965,,-0.878101745,0.232679796,,0.05192,0.218089197
5.962,8.836175598,-2.874175598,,-0.843144821,-1.005365328,,0.05962,0.088361756
8.526,8.195046979,0.330953021,,-0.726742803,-1.066551007,,0.08526,0.08195047
9.038,9.144126962,-0.106126962,,-0.703498718,-0.975976196,,0.09038,0.09144127
34.679,8.542619707,26.13638029,,0.460566864,-1.033380637,,0.34679,0.085426197
7.5,7.585003101,-0.085003101,,-0.773321769,-1.124770135,,0.075,0.075850031
9.936,31.00861254,-21.07261254,,-0.662730772,1.110646313,,0.09936,0.310086125
